Group,,activeArea,firingRate_mean,firingRate_std,firingRate_CV,firingRate_median,firingRate_P10,firingRate_P90,amplitude_mean,amplitude_std,amplitude_CV,amplitude_median,amplitude_P10,amplitude_P90,ISI_mean,ISI_std,ISI_CV,ISI_median,ISI_P10,ISI_P90,date,wellplateID,wellNo,runID,assayTag,div,wellGroupName,wellGroupColor,Plating Date,control
Group,Instance,Active Area,Mean Firing Rate,Firing Rate std,Firing Rate CV,Median Firing Rate,Firing Rate 10th percentile,Firing Rate 90th percentile,Mean Spike Amplitude,Spike Amplitude std,Spike Amplitude CV,Median Spike Amplitude,Spike Amplitude 10th percentile,Spike Amplitude 90th percentile,Mean ISI,ISI std,ISI CV,Median ISI,ISI 10th percentile,ISI 90th percentile,Date,Wellplate ID,Well Number,Assay Run ID,Assay Tag,DIV,Well Group Name,Well Group Color,,Control
1,1,21.31,0.71,0.61,0.85,0.53,0.15,1.52,82.89,75.29,0.91,58.14,33.05,160.24,56.08,23.97,0.43,51.33,31.24,86.58,5/22/2024,None,1,163,DOP28 W3 Organoids M05357,28,Default Group,#999999,24.4.2024,0
1,2,37.45,0.63,0.52,0.83,0.47,0.15,1.35,69.92,55.44,0.79,52.91,32.63,125.02,52.39,26.4,0.5,46.64,26.29,85.88,5/22/2024,None,2,163,DOP28 W3 Organoids M05357,28,Default Group,#999999,24.4.2024,0
1,3,33.04,0.68,0.57,0.84,0.5,0.17,1.41,89.8,96.6,1.08,63.57,34.24,167.2,59.15,25.83,0.44,54.44,32.26,91.85,5/22/2024,None,3,163,DOP28 W3 Organoids M05357,28,Default Group,#999999,24.4.2024,0
1,4,34.29,0.5,0.43,0.87,0.35,0.13,1.05,58.88,43.51,0.74,45.07,30.72,99.27,60.96,29.3,0.48,55.11,28.3,99.69,5/22/2024,None,4,163,DOP28 W3 Organoids M05357,28,Default Group,#999999,24.4.2024,0
1,5,34.26,0.63,0.85,1.35,0.43,0.15,1.26,72.11,55.92,0.78,54.05,33.56,130.89,53.85,27.14,0.5,47.6,27.6,87.82,5/22/2024,None,5,163,DOP28 W3 Organoids M05357,28,Default Group,#999999,24.4.2024,0
1,6,40.76,0.6,0.47,0.79,0.47,0.17,1.2,72.11,56.34,0.78,54.51,33.32,128.63,54.74,23.91,0.44,50.08,30.53,83.34,5/22/2024,None,6,163,DOP28 W3 Organoids M05357,28,Default Group,#999999,24.4.2024,0
1,7,27.36,0.38,0.28,0.74,0.28,0.13,0.77,84.29,66.59,0.79,62.01,35.73,158.55,56.28,29.09,0.52,50,27.9,92.45,5/22/2024,M04707,1,165,DOP28 W3 Organoids M04707,28,Default Group,#999999,24.4.2024,0
1,8,31.09,0.32,0.21,0.66,0.25,0.13,0.62,92.33,83.03,0.9,66.01,36.77,172.23,52.96,32.41,0.61,45.22,22.7,94.2,5/22/2024,M04707,2,165,DOP28 W3 Organoids M04707,28,Default Group,#999999,24.4.2024,0
1,9,13.23,0.22,0.1,0.47,0.18,0.12,0.35,71.27,54.56,0.77,54.42,34.78,124.54,65.92,47.05,0.71,51.12,20.82,143.65,5/22/2024,M04707,3,165,DOP28 W3 Organoids M04707,28,Default Group,#999999,24.4.2024,0
