Group,,activeArea,firingRate_mean,firingRate_std,firingRate_CV,firingRate_median,firingRate_P10,firingRate_P90,amplitude_mean,amplitude_std,amplitude_CV,amplitude_median,amplitude_P10,amplitude_P90,ISI_mean,ISI_std,ISI_CV,ISI_median,ISI_P10,ISI_P90,date,wellplateID,wellNo,runID,assayTag,div,wellGroupName,wellGroupColor,Plating Date,control
Group,Instance,Active Area,Mean Firing Rate,Firing Rate std,Firing Rate CV,Median Firing Rate,Firing Rate 10th percentile,Firing Rate 90th percentile,Mean Spike Amplitude,Spike Amplitude std,Spike Amplitude CV,Median Spike Amplitude,Spike Amplitude 10th percentile,Spike Amplitude 90th percentile,Mean ISI,ISI std,ISI CV,Median ISI,ISI 10th percentile,ISI 90th percentile,Date,Wellplate ID,Well Number,Assay Run ID,Assay Tag,DIV,Well Group Name,Well Group Color,,Control
2,1,0.67,0.37,0.43,1.15,0.25,0.12,0.61,38.7,11.1,0.29,36.78,28.79,51.33,86.51,28.55,0.33,78.32,57.09,125.34,7/26/2024,T002604,1,4,DOP2 W3 Organoids T002604,2,Default Group,#999999,24.7.2024,0
2,2,0.92,0.36,0.29,0.81,0.27,0.12,0.77,36.72,8.98,0.24,34.78,27.07,50.51,71.25,27.97,0.39,69.28,43.3,95.3,7/26/2024,T002604,2,4,DOP2 W3 Organoids T002604,2,Default Group,#999999,24.7.2024,0
2,3,0.31,0.23,0.14,0.59,0.19,0.13,0.38,47.84,19.57,0.41,41.8,30.14,78.07,60.53,30.66,0.51,49.75,41.45,89.98,7/26/2024,T002604,3,4,DOP2 W3 Organoids T002604,2,Default Group,#999999,24.7.2024,0
2,4,0.73,0.28,0.19,0.67,0.22,0.13,0.57,35.27,10.69,0.3,33.08,25.9,49,77.68,40.17,0.52,71.5,35.68,124.7,7/26/2024,T002604,4,4,DOP2 W3 Organoids T002604,2,Default Group,#999999,24.7.2024,0
2,5,0.97,0.35,0.26,0.75,0.27,0.13,0.68,36.82,11.22,0.3,34.49,27.16,49.32,78.72,32.76,0.42,74.75,42.96,117.16,7/26/2024,T002604,5,4,DOP2 W3 Organoids T002604,2,Default Group,#999999,24.7.2024,0
2,6,0.15,0.19,0.06,0.32,0.18,0.12,0.25,28.48,2.81,0.1,28.66,25.04,30.66,32.51,31.99,0.98,23.5,5.33,53.43,7/26/2024,T002604,6,4,DOP2 W3 Organoids T002604,2,Default Group,#999999,24.7.2024,0
2,7,0.52,0.39,0.32,0.84,0.27,0.12,0.62,41.04,10.81,0.26,38.99,30.13,58.54,82.84,36.18,0.44,78.42,46.38,123.32,7/26/2024,T002604,7,4,DOP2 W3 Organoids T002604,2,Default Group,#999999,24.7.2024,0
2,8,0.4,1.08,1.6,1.48,0.18,0.12,4.05,30.84,4.64,0.15,30.42,26.11,36.2,84.93,26.26,0.31,87.76,56.58,109.47,7/26/2024,T002604,8,4,DOP2 W3 Organoids T002604,2,Default Group,#999999,24.7.2024,0
2,9,0.59,0.24,0.26,1.07,0.18,0.12,0.35,33.42,9.99,0.3,31.37,25.86,45.32,87.53,46.16,0.53,75.55,38.4,153.8,7/26/2024,T002604,9,4,DOP2 W3 Organoids T002604,2,Default Group,#999999,24.7.2024,0
2,10,0.63,0.66,0.54,0.82,0.5,0.12,1.48,37.43,13.22,0.35,35.94,25.67,48.68,88.38,29.17,0.33,87.25,54.73,123.18,7/26/2024,T002604,10,4,DOP2 W3 Organoids T002604,2,Default Group,#999999,24.7.2024,0
2,11,0.42,0.27,0.21,0.8,0.2,0.12,0.57,30.96,6.5,0.21,29.03,24.19,39.73,67.08,31.37,0.47,63.68,34.32,95.86,7/26/2024,T002604,11,4,DOP2 W3 Organoids T002604,2,Default Group,#999999,24.7.2024,0
2,12,0.65,0.25,0.2,0.8,0.18,0.12,0.44,43.01,16.84,0.39,37.42,29.21,69.04,84.21,26.7,0.32,83.37,57.47,113.3,7/26/2024,T002604,12,4,DOP2 W3 Organoids T002604,2,Default Group,#999999,24.7.2024,0
2,13,1.09,0.43,0.39,0.9,0.28,0.13,1.02,39.03,15.12,0.39,35.47,24.39,54.79,75.12,30.6,0.41,71.47,40.33,107.46,7/26/2024,T002604,13,4,DOP2 W3 Organoids T002604,2,Default Group,#999999,24.7.2024,0
2,14,0.95,0.58,0.6,1.02,0.35,0.13,1.59,43.48,15.06,0.35,41.42,28.51,56.88,80.22,35.06,0.44,75.04,42.98,121.94,7/26/2024,T002604,14,4,DOP2 W3 Organoids T002604,2,Default Group,#999999,24.7.2024,0
2,15,0.94,0.56,0.53,0.95,0.33,0.13,1.57,36.67,12.06,0.33,34.36,25.6,48.47,87.72,33.08,0.38,81.03,53.77,131.35,7/26/2024,T002604,15,4,DOP2 W3 Organoids T002604,2,Default Group,#999999,24.7.2024,0
2,16,0.71,0.35,0.38,1.08,0.18,0.12,0.85,39.68,12.56,0.32,36.89,28.26,57.13,82.56,36.55,0.44,85.34,36.6,126.98,7/26/2024,T002604,16,4,DOP2 W3 Organoids T002604,2,Default Group,#999999,24.7.2024,0
2,17,0.38,0.39,0.36,0.91,0.22,0.12,0.97,34.16,7.59,0.22,33.18,27.02,42.76,81.97,26.66,0.33,89,46.13,114.48,7/26/2024,T002604,17,4,DOP2 W3 Organoids T002604,2,Default Group,#999999,24.7.2024,0
