Group,,activeArea,firingRate_mean,firingRate_std,firingRate_CV,firingRate_median,firingRate_P10,firingRate_P90,amplitude_mean,amplitude_std,amplitude_CV,amplitude_median,amplitude_P10,amplitude_P90,ISI_mean,ISI_std,ISI_CV,ISI_median,ISI_P10,ISI_P90,date,wellplateID,wellNo,runID,assayTag,div,wellGroupName,wellGroupColor,Plating Date,control
,Instance,Active Area,Mean Firing Rate,Firing Rate std,Firing Rate CV,Median Firing Rate,Firing Rate 10th percentile,Firing Rate 90th percentile,Mean Spike Amplitude,Spike Amplitude std,Spike Amplitude CV,Median Spike Amplitude,Spike Amplitude 10th percentile,Spike Amplitude 90th percentile,Mean ISI,ISI std,ISI CV,Median ISI,ISI 10th percentile,ISI 90th percentile,Date,Wellplate ID,Well Number,Assay Run ID,Assay Tag,DIV,Well Group Name,Well Group Color,,Control
1,1,0.5,0.25,0.17,0.68,0.18,0.12,0.43,48.18,19.65,0.41,43.11,30.27,74.36,65.09,26.54,0.41,55.82,38.16,95.79,3/22/2024,T002604,1,2,DOP2 W3 Organoids T002604,2,Default Group,#999999,20.3.2024,0
1,2,1.05,0.4,0.32,0.79,0.3,0.13,0.78,49.43,17.29,0.35,45.6,32.23,75.35,83.75,35.62,0.43,75.15,47.48,135.1,3/22/2024,T002604,2,2,DOP2 W3 Organoids T002604,2,Default Group,#999999,20.3.2024,1
1,3,0.54,0.22,0.11,0.52,0.18,0.12,0.37,43.27,11.98,0.28,41.1,28.01,56.87,64.59,30.02,0.46,60.24,35.36,96.57,3/22/2024,T002604,3,2,DOP2 W3 Organoids T002604,2,Default Group,#999999,20.3.2024,0
1,4,0.61,0.21,0.11,0.52,0.18,0.12,0.33,42.97,14.93,0.35,42.38,24.3,65.48,75.47,35.46,0.47,70.02,40.56,109.14,3/22/2024,T002604,4,2,DOP2 W3 Organoids T002604,2,Default Group,#999999,20.3.2024,0
1,5,1.16,0.32,0.18,0.56,0.28,0.13,0.52,44.59,17.32,0.39,39.17,29.65,67.09,64.09,33.61,0.52,58.32,30.98,100.37,3/22/2024,T002604,5,2,DOP2 W3 Organoids T002604,2,Default Group,#999999,20.3.2024,0
1,6,1.11,0.47,0.41,0.87,0.3,0.13,1.03,44.63,17.31,0.39,39.86,31.47,59.6,68.25,30.43,0.45,65.54,33.75,109.15,3/22/2024,T002604,6,2,DOP2 W3 Organoids T002604,2,Default Group,#999999,20.3.2024,0
1,7,0.52,0.28,0.15,0.54,0.23,0.13,0.46,45.87,14.77,0.32,40.23,33.64,61.48,74.7,39.07,0.52,66.33,35.98,126.27,3/22/2024,T002604,7,2,DOP2 W3 Organoids T002604,2,Default Group,#999999,20.3.2024,0
1,8,0.97,0.68,1.1,1.62,0.23,0.12,2.3,43.72,18.7,0.43,39.1,30.54,60.38,69.06,24,0.35,68.67,41.7,94.79,3/22/2024,T002604,8,2,DOP2 W3 Organoids T002604,2,Default Group,#999999,20.3.2024,1
1,9,0.63,0.23,0.12,0.52,0.18,0.12,0.37,41.83,13.91,0.33,39.51,28.31,59.73,59.45,24.39,0.41,54.58,35.52,89.67,3/22/2024,T002604,9,2,DOP2 W3 Organoids T002604,2,Default Group,#999999,20.3.2024,0
