Group,,instance,neuron,electrodeNo,x,y,neuronConductionVel,totalAxonLen,longestBranchLen,longestDistFromInitSite,longestLat,amplitudeInitSite,totNoSpikes,neuronFiringRate,isiViolationRate,fisherProjectionDistance,silhouetteScore,spikesNoPerConfig_mean,completeness,date,wellplateID,wellNo,runID,assayTag,div,wellGroupName,wellGroupColor,Cell Type,Media Type,Plating Date,control
Group,Instance,Instance,,Electrode Number,x Position,y Position,Neuron Conduction Velocity,Total Axon Length, Longest Branch Length,Longest Distance From Initiation Site,Longest Latency,Amplitude at Initiation Site,Total Number of Spikes,Neuron Firing Rate,ISI Violation Rate,Fisher Projection Distance,Silhouette Score,Mean Number Spikes per Config,Footprint Completeness,Date,Wellplate ID,Well Number,Assay Run ID,Assay Tag,DIV,Well Group Name,Well Group Color,,,,Control
1,0,1,3,17012,1260,1347.5,0.3,112.2,112.2,117.4,0.5,1195.7,321,0.23,0,19.32,0.77,13,0.78,5/23/2024,M05357,1,175,DOP W3 Organoids M05357,29,Default Group,#999999,Organoids,Diff Media,24.4.2024,0
1,1,1,7,6884,1120,542.5,0.414,765.1,408.1,302.1,1,665.5,1936,1.4,0,11,0.7,84,1,5/23/2024,M05357,1,175,DOP W3 Organoids M05357,29,Default Group,#999999,Organoids,Diff Media,24.4.2024,0
1,2,1,12,24267,1172.5,1925,N/A,N/A,N/A,N/A,N/A,839.5,699,0.51,0,12.32,0.73,30,1,5/23/2024,M05357,1,175,DOP W3 Organoids M05357,29,Default Group,#999999,Organoids,Diff Media,24.4.2024,0
1,3,1,13,3746,105,297.5,0.327,94.7,94.7,89.2,0.35,792.4,575,0.42,0,6.9,0.66,25,0.96,5/23/2024,M05357,1,175,DOP W3 Organoids M05357,29,Default Group,#999999,Organoids,Diff Media,24.4.2024,0
1,4,1,17,24283,1452.5,1925,0.306,517,273.9,879.4,1.1,621.7,466,0.34,3.19,4.16,0.52,20,1,5/23/2024,M05357,1,175,DOP W3 Organoids M05357,29,Default Group,#999999,Organoids,Diff Media,24.4.2024,0
1,5,1,24,5086,455,402.5,N/A,N/A,N/A,N/A,N/A,732.5,975,0.7,0.36,18.17,0.78,42,1,5/23/2024,M05357,1,175,DOP W3 Organoids M05357,29,Default Group,#999999,Organoids,Diff Media,24.4.2024,0
1,6,1,30,5763,752.5,455,N/A,N/A,N/A,N/A,N/A,383.7,693,0.5,0,10.64,0.57,30,1,5/23/2024,M05357,1,175,DOP W3 Organoids M05357,29,Default Group,#999999,Organoids,Diff Media,24.4.2024,0
1,7,1,31,5805,1487.5,455,0.428,559.2,217.2,210.7,0.7,635.7,517,0.37,6.47,6.35,0.69,22,1,5/23/2024,M05357,1,175,DOP W3 Organoids M05357,29,Default Group,#999999,Organoids,Diff Media,24.4.2024,0
1,8,1,35,20106,1505,1592.5,0.378,169.9,169.9,141.1,0.45,549.6,4399,3.18,0,N/A,N/A,191,1,5/23/2024,M05357,1,175,DOP W3 Organoids M05357,29,Default Group,#999999,Organoids,Diff Media,24.4.2024,0
1,9,1,43,15700,1400,1242.5,0.25,94.7,94.7,102,0.5,1196.6,291,0.21,0,27.43,0.79,12,0.65,5/23/2024,M05357,1,175,DOP W3 Organoids M05357,29,Default Group,#999999,Organoids,Diff Media,24.4.2024,0
1,10,1,44,21444,1820,1697.5,0.55,137,137,144.3,0.25,394.2,342,0.25,0,8.77,0.67,14,0.61,5/23/2024,M05357,1,175,DOP W3 Organoids M05357,29,Default Group,#999999,Organoids,Diff Media,24.4.2024,0
1,11,1,46,3581,1067.5,280,0.395,201.9,201.9,112.1,0.5,248.5,647,0.47,0,3.81,0.46,28,1,5/23/2024,M05357,1,175,DOP W3 Organoids M05357,29,Default Group,#999999,Organoids,Diff Media,24.4.2024,0
