Group,,instance,neuron,branch,branchLen,branchConductionVel,conductionVelFit,latFromInitSite,distFromInitSite,totNoSpikes,neuronFiringRate,isiViolationRate,fisherProjectionDistance,silhouetteScore,spikesNoPerConfig_mean,completeness,date,wellplateID,wellNo,runID,assayTag,div,wellGroupName,wellGroupColor,Cell Type,Media Type,Plating Date,control
Group,Instance,Instance,,,Branch Length,Branch Conduction Velocity,Conduction Velocity Fit,Latency From Initiation Site,Distance From Initiation Site,Total Number of Spikes,Neuron Firing Rate,ISI Violation Rate,Fisher Projection Distance,Silhouette Score,Mean Number Spikes per Config,Footprint Completeness,Date,Wellplate ID,Well Number,Assay Run ID,Assay Tag,DIV,Well Group Name,Well Group Color,,,,Control
1,0,1,3,1,112.2,0.3,0.983,0.15,35,321,0.23,0,19.32,0.77,13,0.78,5/23/2024,M05357,1,175,DOP W3 Organoids M05357,29,Default Group,#999999,Organoids,Diff Media,24.4.2024,0
1,1,1,7,1,408.1,0.389,0.998,0,89.2,1936,1.4,0,11,0.7,84,1,5/23/2024,M05357,1,175,DOP W3 Organoids M05357,29,Default Group,#999999,Organoids,Diff Media,24.4.2024,0
1,2,1,7,2,262.3,0.422,0.998,0.25,52.5,1936,1.4,0,11,0.7,84,1,5/23/2024,M05357,1,175,DOP W3 Organoids M05357,29,Default Group,#999999,Organoids,Diff Media,24.4.2024,0
1,3,1,7,3,94.7,0.498,0.993,0.5,110.7,1936,1.4,0,11,0.7,84,1,5/23/2024,M05357,1,175,DOP W3 Organoids M05357,29,Default Group,#999999,Organoids,Diff Media,24.4.2024,0
1,4,1,13,1,94.7,0.327,0.984,0.05,35,575,0.42,0,6.9,0.66,25,0.96,5/23/2024,M05357,1,175,DOP W3 Organoids M05357,29,Default Group,#999999,Organoids,Diff Media,24.4.2024,0
1,5,1,17,1,102,0.316,0.985,0.75,879.4,466,0.34,3.19,4.16,0.52,20,1,5/23/2024,M05357,1,175,DOP W3 Organoids M05357,29,Default Group,#999999,Organoids,Diff Media,24.4.2024,0
1,6,1,17,2,273.9,0.317,0.991,0.15,63.1,466,0.34,3.19,4.16,0.52,20,1,5/23/2024,M05357,1,175,DOP W3 Organoids M05357,29,Default Group,#999999,Organoids,Diff Media,24.4.2024,0
1,7,1,17,3,141.1,0.277,0.994,0.05,24.7,466,0.34,3.19,4.16,0.52,20,1,5/23/2024,M05357,1,175,DOP W3 Organoids M05357,29,Default Group,#999999,Organoids,Diff Media,24.4.2024,0
1,8,1,31,1,200.9,0.348,0.991,0.15,24.7,517,0.37,6.47,6.35,0.69,22,1,5/23/2024,M05357,1,175,DOP W3 Organoids M05357,29,Default Group,#999999,Organoids,Diff Media,24.4.2024,0
1,9,1,31,2,141.1,0.411,0.998,0.3,87.5,517,0.37,6.47,6.35,0.69,22,1,5/23/2024,M05357,1,175,DOP W3 Organoids M05357,29,Default Group,#999999,Organoids,Diff Media,24.4.2024,0
1,10,1,31,3,217.2,0.514,0.996,0.05,52.5,517,0.37,6.47,6.35,0.69,22,1,5/23/2024,M05357,1,175,DOP W3 Organoids M05357,29,Default Group,#999999,Organoids,Diff Media,24.4.2024,0
1,11,1,35,1,169.9,0.378,1,0,72.2,4399,3.18,0,N/A,N/A,191,1,5/23/2024,M05357,1,175,DOP W3 Organoids M05357,29,Default Group,#999999,Organoids,Diff Media,24.4.2024,0
1,12,1,43,1,94.7,0.25,0.992,0.15,35,291,0.21,0,27.43,0.79,12,0.65,5/23/2024,M05357,1,175,DOP W3 Organoids M05357,29,Default Group,#999999,Organoids,Diff Media,24.4.2024,0
1,13,1,44,1,137,0.55,0.992,0,17.5,342,0.25,0,8.77,0.67,14,0.61,5/23/2024,M05357,1,175,DOP W3 Organoids M05357,29,Default Group,#999999,Organoids,Diff Media,24.4.2024,0
1,14,1,46,1,201.9,0.395,0.999,0,17.5,647,0.47,0,3.81,0.46,28,1,5/23/2024,M05357,1,175,DOP W3 Organoids M05357,29,Default Group,#999999,Organoids,Diff Media,24.4.2024,0
1,15,1,49,1,146.3,0.367,1,3.8,1063,842,0.61,0,3.89,0.7,36,0.83,5/23/2024,M05357,1,175,DOP W3 Organoids M05357,29,Default Group,#999999,Organoids,Diff Media,24.4.2024,0
1,16,1,49,2,144.2,0.422,0.999,0.8,157.5,842,0.61,0,3.89,0.7,36,0.83,5/23/2024,M05357,1,175,DOP W3 Organoids M05357,29,Default Group,#999999,Organoids,Diff Media,24.4.2024,0
1,17,1,50,1,137,0.357,0.986,0.9,302.1,1262,0.91,0,6.7,0.53,54,1,5/23/2024,M05357,1,175,DOP W3 Organoids M05357,29,Default Group,#999999,Organoids,Diff Media,24.4.2024,0
1,18,1,50,2,291.5,0.375,0.999,0.05,24.7,1262,0.91,0,6.7,0.53,54,1,5/23/2024,M05357,1,175,DOP W3 Organoids M05357,29,Default Group,#999999,Organoids,Diff Media,24.4.2024,0
1,19,1,52,1,271,0.459,0.998,0.35,322.7,392,0.28,0,7.22,0.51,17,0.78,5/23/2024,M05357,1,175,DOP W3 Organoids M05357,29,Default Group,#999999,Organoids,Diff Media,24.4.2024,0
1,20,1,52,2,273.7,0.363,0.996,0,17.5,392,0.28,0,7.22,0.51,17,0.78,5/23/2024,M05357,1,175,DOP W3 Organoids M05357,29,Default Group,#999999,Organoids,Diff Media,24.4.2024,0
1,21,1,52,3,172,0.553,0.999,0.35,293.4,392,0.28,0,7.22,0.51,17,0.78,5/23/2024,M05357,1,175,DOP W3 Organoids M05357,29,Default Group,#999999,Organoids,Diff Media,24.4.2024,0
1,22,2,3,1,680.9,0.351,0.99,1.15,411.9,734,0.41,0,10.42,0.73,24,1,5/23/2024,M05357,2,175,DOP W3 Organoids M05357,29,Default Group,#999999,Organoids,Diff Media,24.4.2024,0
1,23,2,3,2,123.6,0.344,0.955,2.65,783.6,734,0.41,0,10.42,0.73,24,1,5/23/2024,M05357,2,175,DOP W3 Organoids M05357,29,Default Group,#999999,Organoids,Diff Media,24.4.2024,0
1,24,2,3,3,262.3,0.337,0.994,1.9,727.9,734,0.41,0,10.42,0.73,24,1,5/23/2024,M05357,2,175,DOP W3 Organoids M05357,29,Default Group,#999999,Organoids,Diff Media,24.4.2024,0
1,25,2,3,4,303.9,0.386,0.998,1.2,446.2,734,0.41,0,10.42,0.73,24,1,5/23/2024,M05357,2,175,DOP W3 Organoids M05357,29,Default Group,#999999,Organoids,Diff Media,24.4.2024,0
1,26,2,3,5,77.2,0.393,0.998,0.55,199.5,734,0.41,0,10.42,0.73,24,1,5/23/2024,M05357,2,175,DOP W3 Organoids M05357,29,Default Group,#999999,Organoids,Diff Media,24.4.2024,0
1,27,2,3,6,172,0.505,0.993,0.05,35,734,0.41,0,10.42,0.73,24,1,5/23/2024,M05357,2,175,DOP W3 Organoids M05357,29,Default Group,#999999,Organoids,Diff Media,24.4.2024,0
1,28,2,3,7,112.2,0.438,0.996,0.05,17.5,734,0.41,0,10.42,0.73,24,1,5/23/2024,M05357,2,175,DOP W3 Organoids M05357,29,Default Group,#999999,Organoids,Diff Media,24.4.2024,0
1,29,2,4,1,189.5,0.363,0.992,2.25,645.4,498,0.28,0,11.92,0.74,16,0.97,5/23/2024,M05357,2,175,DOP W3 Organoids M05357,29,Default Group,#999999,Organoids,Diff Media,24.4.2024,0
1,30,2,4,2,297.2,0.392,0.997,0,0,498,0.28,0,11.92,0.74,16,0.97,5/23/2024,M05357,2,175,DOP W3 Organoids M05357,29,Default Group,#999999,Organoids,Diff Media,24.4.2024,0
1,31,2,4,3,345.2,0.465,0.997,0,24.7,498,0.28,0,11.92,0.74,16,0.97,5/23/2024,M05357,2,175,DOP W3 Organoids M05357,29,Default Group,#999999,Organoids,Diff Media,24.4.2024,0
1,32,2,4,4,133.9,0.448,0.988,0.4,133.3,498,0.28,0,11.92,0.74,16,0.97,5/23/2024,M05357,2,175,DOP W3 Organoids M05357,29,Default Group,#999999,Organoids,Diff Media,24.4.2024,0
1,33,2,4,5,130.8,0.332,0.996,0.05,87.5,498,0.28,0,11.92,0.74,16,0.97,5/23/2024,M05357,2,175,DOP W3 Organoids M05357,29,Default Group,#999999,Organoids,Diff Media,24.4.2024,0
