Group,,instance,neuron,branch,branchLen,branchConductionVel,conductionVelFit,latFromInitSite,distFromInitSite,totNoSpikes,neuronFiringRate,isiViolationRate,fisherProjectionDistance,silhouetteScore,spikesNoPerConfig_mean,completeness,date,wellplateID,wellNo,runID,assayTag,div,wellGroupName,wellGroupColor,Plating Date,control
Group,Instance,Instance,,,Branch Length,Branch Conduction Velocity,Conduction Velocity Fit,Latency From Initiation Site,Distance From Initiation Site,Total Number of Spikes,Neuron Firing Rate,ISI Violation Rate,Fisher Projection Distance,Silhouette Score,Mean Number Spikes per Config,Footprint Completeness,Date,Wellplate ID,Well Number,Assay Run ID,Assay Tag,DIV,Well Group Name,Well Group Color,,Control
1,0,2,6,1,151.4,0.407,0.996,0.15,35,134,0.56,0,8.71,0.55,33,1,4/30/2024,M05357,2,32,DOP6 W3 Organoids M05357,6,Default Group,#999999,24.4.2024,0
1,1,4,4,1,172.2,0.344,0.996,0,74.2,69,0.29,37.89,3.11,0.61,17,0.75,4/30/2024,M05357,4,32,DOP6 W3 Organoids M05357,6,Default Group,#999999,24.4.2024,0
1,2,4,6,1,84.5,0.318,0.987,0.05,24.7,68,0.28,0,9.15,0.49,17,1,4/30/2024,M05357,4,32,DOP6 W3 Organoids M05357,6,Default Group,#999999,24.4.2024,0
1,3,4,7,1,296,0.361,0.996,0.55,273.4,51,0.21,0,5.04,0.38,12,0.75,4/30/2024,M05357,4,32,DOP6 W3 Organoids M05357,6,Default Group,#999999,24.4.2024,0
1,4,4,7,2,140,0.44,0.994,0.55,262.5,51,0.21,0,5.04,0.38,12,0.75,4/30/2024,M05357,4,32,DOP6 W3 Organoids M05357,6,Default Group,#999999,24.4.2024,0
1,5,4,7,3,240,0.354,0.998,0.1,227.5,51,0.21,0,5.04,0.38,12,0.75,4/30/2024,M05357,4,32,DOP6 W3 Organoids M05357,6,Default Group,#999999,24.4.2024,0
1,6,4,7,4,173.1,0.342,0.998,0.15,35,51,0.21,0,5.04,0.38,12,0.75,4/30/2024,M05357,4,32,DOP6 W3 Organoids M05357,6,Default Group,#999999,24.4.2024,0
1,7,4,7,5,70,0.215,0.992,0.1,35,51,0.21,0,5.04,0.38,12,0.75,4/30/2024,M05357,4,32,DOP6 W3 Organoids M05357,6,Default Group,#999999,24.4.2024,0
1,8,4,10,1,123.6,0.399,0.999,0.05,52.5,68,0.28,0,7.65,0.53,17,1,4/30/2024,M05357,4,32,DOP6 W3 Organoids M05357,6,Default Group,#999999,24.4.2024,0
1,9,5,7,1,202.6,0.403,0.996,0.1,24.7,137,0.57,0,4.85,0.31,34,0.75,4/30/2024,M05357,5,32,DOP6 W3 Organoids M05357,6,Default Group,#999999,24.4.2024,0
1,10,5,7,2,137,0.547,0.993,0.2,55.3,137,0.57,0,4.85,0.31,34,0.75,4/30/2024,M05357,5,32,DOP6 W3 Organoids M05357,6,Default Group,#999999,24.4.2024,0
1,11,6,1,1,176.1,0.471,0.995,0.05,17.5,219,0.91,0,12.79,0.61,54,1,4/30/2024,M05357,6,32,DOP6 W3 Organoids M05357,6,Default Group,#999999,24.4.2024,0
1,12,6,6,1,193.7,0.396,0.988,0,78.3,129,0.54,0,11.96,0.6,32,1,4/30/2024,M05357,6,32,DOP6 W3 Organoids M05357,6,Default Group,#999999,24.4.2024,0
1,13,7,7,1,182.2,0.305,0.989,0.05,117.4,36,0.2,0,2.45,0.26,12,0.67,4/30/2024,None,1,47,DOP6 W3 Organoids M05368,6,Default Group,#999999,24.4.2024,0
1,14,8,6,1,251.3,0.379,0.986,0,55.3,53,0.22,0,2.93,0.27,13,0.75,4/30/2024,None,2,47,DOP6 W3 Organoids M05368,6,Default Group,#999999,24.4.2024,0
1,15,9,1,1,200.9,0.452,0.985,0,17.5,39,0.22,0,4.76,0.55,13,0.67,4/30/2024,None,3,47,DOP6 W3 Organoids M05368,6,Default Group,#999999,24.4.2024,0
1,16,9,1,2,119.5,0.304,0.985,0,35,39,0.22,0,4.76,0.55,13,0.67,4/30/2024,None,3,47,DOP6 W3 Organoids M05368,6,Default Group,#999999,24.4.2024,0
1,17,9,1,3,137,0.439,0.994,0,17.5,39,0.22,0,4.76,0.55,13,0.67,4/30/2024,None,3,47,DOP6 W3 Organoids M05368,6,Default Group,#999999,24.4.2024,0
1,18,11,2,1,179.2,0.232,0.984,0.1,35,65,0.36,0,N/A,N/A,21,1,4/30/2024,None,5,47,DOP6 W3 Organoids M05368,6,Default Group,#999999,24.4.2024,0
1,19,13,1,1,193.6,0.478,0.997,0,99,364,0.86,0,16.63,0.64,52,1,5/2/2024,M05357,1,57,DOP8 W3 Organoids M05357,8,Default Group,#999999,24.4.2024,0
1,20,13,1,2,133.9,0.373,0.993,0,70,364,0.86,0,16.63,0.64,52,1,5/2/2024,M05357,1,57,DOP8 W3 Organoids M05357,8,Default Group,#999999,24.4.2024,0
1,21,13,7,1,550.7,0.378,0.999,0.1,24.7,126,0.3,0,6.69,0.43,18,0.86,5/2/2024,M05357,1,57,DOP8 W3 Organoids M05357,8,Default Group,#999999,24.4.2024,0
1,22,13,7,2,182.2,0.314,0.987,0.4,141.1,126,0.3,0,6.69,0.43,18,0.86,5/2/2024,M05357,1,57,DOP8 W3 Organoids M05357,8,Default Group,#999999,24.4.2024,0
1,23,13,7,3,126.7,0.368,0.998,0.2,94.2,126,0.3,0,6.69,0.43,18,0.86,5/2/2024,M05357,1,57,DOP8 W3 Organoids M05357,8,Default Group,#999999,24.4.2024,0
1,24,14,3,1,368.7,0.357,0.988,0,35,205,0.57,0,35.41,0.71,34,1,5/2/2024,M05357,2,57,DOP8 W3 Organoids M05357,8,Default Group,#999999,24.4.2024,0
1,25,14,8,1,137,0.347,0.98,0.05,17.5,245,0.68,0,9.73,0.58,40,1,5/2/2024,M05357,2,57,DOP8 W3 Organoids M05357,8,Default Group,#999999,24.4.2024,0
1,26,15,9,1,144.2,0.422,0.998,0.15,70,165,0.46,0,6.86,0.45,27,1,5/2/2024,M05357,3,57,DOP8 W3 Organoids M05357,8,Default Group,#999999,24.4.2024,0
1,27,15,10,1,173.1,0.349,0.981,0.1,35,215,0.6,0,10.5,0.56,35,1,5/2/2024,M05357,3,57,DOP8 W3 Organoids M05357,8,Default Group,#999999,24.4.2024,0
1,28,15,12,1,102,0.3,0.976,0.05,17.5,84,0.23,0,9.9,0.51,14,1,5/2/2024,M05357,3,57,DOP8 W3 Organoids M05357,8,Default Group,#999999,24.4.2024,0
1,29,16,5,1,102,0.334,0.994,0.15,35,134,0.32,0,17.67,0.61,19,0.71,5/2/2024,M05357,4,57,DOP8 W3 Organoids M05357,8,Default Group,#999999,24.4.2024,0
1,30,16,10,1,132.6,0.428,0.993,0.2,87.5,95,0.23,0,9.35,0.52,13,1,5/2/2024,M05357,4,57,DOP8 W3 Organoids M05357,8,Default Group,#999999,24.4.2024,0
1,31,16,10,2,126.7,0.491,0.995,0.1,35,95,0.23,0,9.35,0.52,13,1,5/2/2024,M05357,4,57,DOP8 W3 Organoids M05357,8,Default Group,#999999,24.4.2024,0
1,32,16,12,1,249.5,0.395,0.988,0.15,263.1,80,0.19,509.82,35.79,0.55,11,0.71,5/2/2024,M05357,4,57,DOP8 W3 Organoids M05357,8,Default Group,#999999,24.4.2024,0
1,33,16,12,2,168.9,0.417,0.983,0.35,280.5,80,0.19,509.82,35.79,0.55,11,0.71,5/2/2024,M05357,4,57,DOP8 W3 Organoids M05357,8,Default Group,#999999,24.4.2024,0
1,34,16,15,1,199.5,0.385,0.991,0,0,144,0.34,0,12.23,0.54,20,0.86,5/2/2024,M05357,4,57,DOP8 W3 Organoids M05357,8,Default Group,#999999,24.4.2024,0
1,35,16,15,2,116.4,0.371,0.984,0.1,35,144,0.34,0,12.23,0.54,20,0.86,5/2/2024,M05357,4,57,DOP8 W3 Organoids M05357,8,Default Group,#999999,24.4.2024,0
1,36,16,19,1,607.7,0.409,0.998,0,17.5,468,1.11,0,7.38,0.44,66,1,5/2/2024,M05357,4,57,DOP8 W3 Organoids M05357,8,Default Group,#999999,24.4.2024,0
1,37,16,19,2,119.5,0.597,0.998,0.95,345.2,468,1.11,0,7.38,0.44,66,1,5/2/2024,M05357,4,57,DOP8 W3 Organoids M05357,8,Default Group,#999999,24.4.2024,0
1,38,16,19,3,352.1,0.402,0.998,0.2,247.5,468,1.11,0,7.38,0.44,66,1,5/2/2024,M05357,4,57,DOP8 W3 Organoids M05357,8,Default Group,#999999,24.4.2024,0
1,39,16,19,4,145.3,0.344,0.996,0.05,39.1,468,1.11,0,7.38,0.44,66,1,5/2/2024,M05357,4,57,DOP8 W3 Organoids M05357,8,Default Group,#999999,24.4.2024,0
1,40,16,19,5,141.1,0.418,0.982,0.1,49.5,468,1.11,0,7.38,0.44,66,1,5/2/2024,M05357,4,57,DOP8 W3 Organoids M05357,8,Default Group,#999999,24.4.2024,0
1,41,16,19,6,144.2,0.492,0.998,0.1,49.5,468,1.11,0,7.38,0.44,66,1,5/2/2024,M05357,4,57,DOP8 W3 Organoids M05357,8,Default Group,#999999,24.4.2024,0
1,42,16,20,1,221.4,0.448,0.999,0.1,35,106,0.25,0,9.76,0.6,15,0.86,5/2/2024,M05357,4,57,DOP8 W3 Organoids M05357,8,Default Group,#999999,24.4.2024,0
1,43,16,20,2,158.7,0.33,0.985,0.05,24.7,106,0.25,0,9.76,0.6,15,0.86,5/2/2024,M05357,4,57,DOP8 W3 Organoids M05357,8,Default Group,#999999,24.4.2024,0
1,44,16,20,3,91.7,0.339,0.982,0.05,24.7,106,0.25,0,9.76,0.6,15,0.86,5/2/2024,M05357,4,57,DOP8 W3 Organoids M05357,8,Default Group,#999999,24.4.2024,0
