Group,,instance,neuron,branch,branchLen,branchConductionVel,conductionVelFit,latFromInitSite,distFromInitSite,totNoSpikes,neuronFiringRate,isiViolationRate,fisherProjectionDistance,silhouetteScore,spikesNoPerConfig_mean,completeness,date,wellplateID,wellNo,runID,assayTag,div,wellGroupName,wellGroupColor,Plating Date,control
Group,Instance,Instance,,,Branch Length,Branch Conduction Velocity,Conduction Velocity Fit,Latency From Initiation Site,Distance From Initiation Site,Total Number of Spikes,Neuron Firing Rate,ISI Violation Rate,Fisher Projection Distance,Silhouette Score,Mean Number Spikes per Config,Footprint Completeness,Date,Wellplate ID,Well Number,Assay Run ID,Assay Tag,DIV,Well Group Name,Well Group Color,,Control
1,0,3,2,1,102,0.352,0.994,0.05,35,164,0.68,0,N/A,N/A,41,1,3/26/2024,T002604,3,14,DOP6 W3 Organoids T002604,6,Default Group,#999999,20.3.2024,0
1,1,3,2,2,123.6,0.473,0.994,0.1,52.5,164,0.68,0,N/A,N/A,41,1,3/26/2024,T002604,3,14,DOP6 W3 Organoids T002604,6,Default Group,#999999,20.3.2024,0
1,2,19,7,1,70,0.284,0.986,0.1,35,36,0.2,0,4.13,0.34,12,0.67,3/26/2024,T002604,19,14,DOP6 W3 Organoids T002604,6,Default Group,#999999,20.3.2024,0
1,3,20,3,1,119.5,0.314,0.983,0.05,17.5,64,0.35,0,51.07,0.8,21,1,3/26/2024,T002604,20,14,DOP6 W3 Organoids T002604,6,Default Group,#999999,20.3.2024,1
1,4,20,4,1,421.2,0.374,0.998,0.15,446.2,60,0.33,0,3.18,0.41,20,1,3/26/2024,T002604,20,14,DOP6 W3 Organoids T002604,6,Default Group,#999999,20.3.2024,1
1,5,20,4,2,70,0.284,0.986,0.95,679.6,60,0.33,0,3.18,0.41,20,1,3/26/2024,T002604,20,14,DOP6 W3 Organoids T002604,6,Default Group,#999999,20.3.2024,1
1,6,20,4,3,215.3,0.387,0.995,0.5,280,60,0.33,0,3.18,0.41,20,1,3/26/2024,T002604,20,14,DOP6 W3 Organoids T002604,6,Default Group,#999999,20.3.2024,1
1,7,20,4,4,162.8,0.423,0.995,0.5,565.4,60,0.33,0,3.18,0.41,20,1,3/26/2024,T002604,20,14,DOP6 W3 Organoids T002604,6,Default Group,#999999,20.3.2024,1
1,8,20,4,5,154.5,0.411,0.986,0.5,245.6,60,0.33,0,3.18,0.41,20,1,3/26/2024,T002604,20,14,DOP6 W3 Organoids T002604,6,Default Group,#999999,20.3.2024,1
1,9,20,4,6,205,0.468,0.998,0.15,446.2,60,0.33,0,3.18,0.41,20,1,3/26/2024,T002604,20,14,DOP6 W3 Organoids T002604,6,Default Group,#999999,20.3.2024,1
1,10,26,6,1,122.3,0.285,0.994,3.7,547.8,40,0.22,0,12.01,0.52,13,0.67,3/26/2024,T002516,2,18,DOP6 W3 Organoids T002516,6,Default Group,#999999,20.3.2024,1
1,11,26,6,2,295.6,0.401,0.998,0,336.6,40,0.22,0,12.01,0.52,13,0.67,3/26/2024,T002516,2,18,DOP6 W3 Organoids T002516,6,Default Group,#999999,20.3.2024,1
1,12,26,6,3,94.7,0.484,0.99,0.2,423.3,40,0.22,0,12.01,0.52,13,0.67,3/26/2024,T002516,2,18,DOP6 W3 Organoids T002516,6,Default Group,#999999,20.3.2024,1
1,13,26,6,4,109.1,0.419,0.992,0.1,432.9,40,0.22,0,12.01,0.52,13,0.67,3/26/2024,T002516,2,18,DOP6 W3 Organoids T002516,6,Default Group,#999999,20.3.2024,1
1,14,26,6,5,99,0.495,1,0.1,386.6,40,0.22,0,12.01,0.52,13,0.67,3/26/2024,T002516,2,18,DOP6 W3 Organoids T002516,6,Default Group,#999999,20.3.2024,1
1,15,26,7,1,154.5,0.355,0.963,0,35,40,0.22,0,5.88,0.36,13,0.67,3/26/2024,T002516,2,18,DOP6 W3 Organoids T002516,6,Default Group,#999999,20.3.2024,1
1,16,26,7,2,119.5,0.47,0.991,0.1,35,40,0.22,0,5.88,0.36,13,0.67,3/26/2024,T002516,2,18,DOP6 W3 Organoids T002516,6,Default Group,#999999,20.3.2024,1
1,17,27,5,1,84.5,0.229,0.923,0.25,472.8,55,0.31,0,5.14,0.37,18,1,3/26/2024,T002516,3,18,DOP6 W3 Organoids T002516,6,Default Group,#999999,20.3.2024,0
1,18,27,6,1,139.8,0.342,0.989,0,17.5,40,0.22,0,5.78,0.44,13,0.67,3/26/2024,T002516,3,18,DOP6 W3 Organoids T002516,6,Default Group,#999999,20.3.2024,0
1,19,28,5,1,196.7,0.438,0.994,0,24.7,45,0.25,0,9.59,0.52,15,1,3/26/2024,T002516,4,18,DOP6 W3 Organoids T002516,6,Default Group,#999999,20.3.2024,0
1,20,31,10,1,116.4,0.272,0.992,0.1,35,58,0.32,0,5.14,0.52,19,1,3/26/2024,T002516,7,18,DOP6 W3 Organoids T002516,6,Default Group,#999999,20.3.2024,0
1,21,34,2,1,119.5,0.324,0.996,0.05,17.5,40,0.17,0,6.99,0.62,10,0.75,3/26/2024,T002516,10,18,DOP6 W3 Organoids T002516,6,Default Group,#999999,20.3.2024,0
1,22,37,2,1,243.1,0.394,0.998,1.2,161.3,34,0.19,0,11.3,0.59,11,0.67,3/26/2024,T002516,13,18,DOP6 W3 Organoids T002516,6,Default Group,#999999,20.3.2024,0
1,23,37,2,2,98.9,0.39,0.999,1.2,148.5,34,0.19,0,11.3,0.59,11,0.67,3/26/2024,T002516,13,18,DOP6 W3 Organoids T002516,6,Default Group,#999999,20.3.2024,0
1,24,37,6,1,394.4,0.378,0.994,1.7,322.7,58,0.32,0,10.2,0.47,19,1,3/26/2024,T002516,13,18,DOP6 W3 Organoids T002516,6,Default Group,#999999,20.3.2024,0
1,25,37,6,2,129.5,0.371,1,0,17.5,58,0.32,0,10.2,0.47,19,1,3/26/2024,T002516,13,18,DOP6 W3 Organoids T002516,6,Default Group,#999999,20.3.2024,0
1,26,39,5,1,182.2,0.295,0.998,1.2,553.4,57,0.32,0,2.94,0.26,19,0.67,3/26/2024,T002516,15,18,DOP6 W3 Organoids T002516,6,Default Group,#999999,20.3.2024,0
1,27,39,6,1,196.7,0.365,0.996,0,70,119,0.66,3.18,1.71,0.48,39,1,3/26/2024,T002516,15,18,DOP6 W3 Organoids T002516,6,Default Group,#999999,20.3.2024,0
1,28,40,2,1,98.9,0.315,0.987,0,24.7,49,0.2,0,5.03,0.39,12,0.75,3/26/2024,T002516,16,18,DOP6 W3 Organoids T002516,6,Default Group,#999999,20.3.2024,0
