Group,,instance,burstTime,SPB,SPBch,burstDur,burstPeak,IBI,bISI_mean,bISI_CV,date,wellplateID,wellNo,runID,wellGroupName,wellGroupColor,Plating Date,control,assayTag,div
Group,Instance,Instance,,Spikes per Burst,Spikes per Burst per Electrode,Burst Duration,Burst Peak Firing Rate,IBI,Mean Burst ISI,Burst ISI CV,Date,Wellplate ID,Well Number,Assay Run ID,Well Group Name,Well Group Color,,Control,Assay Tag,DIV
2,0,1,3.2,333,0.45,0.66,0.65,N/A,67.49,1.3,8/22/2024,T002604,1,38,N/A,N/A,N/A,N/A,DOP27 W3 Organoids T002604,28
2,1,1,10.71,281,0.38,0.48,0.66,3.58,58.25,1.13,8/22/2024,T002604,1,38,Default Group,#999999,24.7.2024,0,DOP28 W3 Organoids T002604,28
2,2,1,14.29,897,1.22,1.51,0.83,5.87,198.34,1.49,8/22/2024,T002604,1,38,Default Group,#999999,24.7.2024,0,DOP28 W3 Organoids T002604,28
2,3,1,20.16,437,0.59,0.69,0.77,3.84,62.47,1.4,8/22/2024,T002604,1,38,Default Group,#999999,24.7.2024,0,DOP28 W3 Organoids T002604,28
2,4,1,24,895,1.21,1.96,0.62,12.35,218.8,1.71,8/22/2024,T002604,1,38,Default Group,#999999,24.7.2024,0,DOP28 W3 Organoids T002604,28
2,5,1,36.35,326,0.44,0.63,0.64,2.6,45.16,1.14,8/22/2024,T002604,1,38,Default Group,#999999,24.7.2024,0,DOP28 W3 Organoids T002604,28
2,6,1,38.95,583,0.79,0.87,0.9,4.39,93.63,1.37,8/22/2024,T002604,1,38,Default Group,#999999,24.7.2024,0,DOP28 W3 Organoids T002604,28
2,7,1,43.34,474,0.64,0.84,0.74,6.19,95.96,1.55,8/22/2024,T002604,1,38,Default Group,#999999,24.7.2024,0,DOP28 W3 Organoids T002604,28
2,8,1,49.53,478,0.65,0.95,0.69,8.6,106.43,1.42,8/22/2024,T002604,1,38,Default Group,#999999,24.7.2024,0,DOP28 W3 Organoids T002604,28
2,9,1,58.13,1333,1.81,1.95,0.92,7.09,248.39,1.5,8/22/2024,T002604,1,38,Default Group,#999999,24.7.2024,0,DOP28 W3 Organoids T002604,28
2,10,1,65.22,712,0.96,1.63,0.63,12.54,167.58,1.75,8/22/2024,T002604,1,38,Default Group,#999999,24.7.2024,0,DOP28 W3 Organoids T002604,28
2,11,1,77.76,779,1.06,1.28,0.91,8.1,149.76,1.44,8/22/2024,T002604,1,38,Default Group,#999999,24.7.2024,0,DOP28 W3 Organoids T002604,28
2,12,1,85.86,618,0.84,1,0.87,11.9,102.94,1.52,8/22/2024,T002604,1,38,Default Group,#999999,24.7.2024,0,DOP28 W3 Organoids T002604,28
2,13,1,97.76,593,0.8,1.25,0.65,2.68,146.75,1.56,8/22/2024,T002604,1,38,Default Group,#999999,24.7.2024,0,DOP28 W3 Organoids T002604,28
2,14,1,100.44,446,0.6,0.84,0.72,2.87,68.79,1.5,8/22/2024,T002604,1,38,Default Group,#999999,24.7.2024,0,DOP28 W3 Organoids T002604,28
2,15,1,103.31,453,0.61,0.62,0.85,8.26,68.63,1.28,8/22/2024,T002604,1,38,Default Group,#999999,24.7.2024,0,DOP28 W3 Organoids T002604,28
2,16,1,111.57,353,0.48,0.7,0.67,1.79,69.07,1.47,8/22/2024,T002604,1,38,Default Group,#999999,24.7.2024,0,DOP28 W3 Organoids T002604,28
2,17,1,113.36,210,0.28,0.39,0.65,1.1,50.86,1.07,8/22/2024,T002604,1,38,Default Group,#999999,24.7.2024,0,DOP28 W3 Organoids T002604,28
2,18,1,114.46,366,0.5,0.76,0.68,3.21,71.2,1.17,8/22/2024,T002604,1,38,Default Group,#999999,24.7.2024,0,DOP28 W3 Organoids T002604,28
2,19,1,117.67,745,1.01,1.02,1,5.55,116.39,1.45,8/22/2024,T002604,1,38,Default Group,#999999,24.7.2024,0,DOP28 W3 Organoids T002604,28
2,20,1,123.22,320,0.43,0.6,0.63,2.93,48.19,1,8/22/2024,T002604,1,38,Default Group,#999999,24.7.2024,0,DOP28 W3 Organoids T002604,28
2,21,1,126.15,423,0.57,0.8,0.67,4.6,83.95,1.52,8/22/2024,T002604,1,38,Default Group,#999999,24.7.2024,0,DOP28 W3 Organoids T002604,28
2,22,1,130.75,276,0.37,0.55,0.62,3.85,56,1.1,8/22/2024,T002604,1,38,Default Group,#999999,24.7.2024,0,DOP28 W3 Organoids T002604,28
2,23,1,134.6,426,0.58,0.69,0.72,5.06,78.27,1.2,8/22/2024,T002604,1,38,Default Group,#999999,24.7.2024,0,DOP28 W3 Organoids T002604,28
2,24,1,139.66,479,0.65,1.01,0.64,4.31,89.05,1.7,8/22/2024,T002604,1,38,Default Group,#999999,24.7.2024,0,DOP28 W3 Organoids T002604,28
2,25,1,143.97,347,0.47,0.65,0.65,3.97,57.75,1.31,8/22/2024,T002604,1,38,N/A,N/A,N/A,N/A,DOP28 W3 Organoids T002604,28
2,26,1,147.94,496,0.67,0.86,0.76,4.17,89.19,1.31,8/22/2024,T002604,1,38,N/A,N/A,N/A,N/A,DOP28 W3 Organoids T002604,28
2,27,1,152.11,292,0.4,0.41,0.74,1.84,47.64,0.84,8/22/2024,T002604,1,38,N/A,N/A,N/A,N/A,DOP28 W3 Organoids T002604,28
2,28,1,153.95,94,0.13,0.14,0.62,1.12,30.39,0.19,8/22/2024,T002604,1,38,N/A,N/A,N/A,N/A,DOP28 W3 Organoids T002604,28
2,29,1,155.07,725,0.98,1.16,0.89,3.48,134.96,1.37,8/22/2024,T002604,1,38,N/A,N/A,N/A,N/A,DOP28 W3 Organoids T002604,28
2,30,1,158.55,314,0.43,0.66,0.62,7.13,64.26,1.08,8/22/2024,T002604,1,38,N/A,N/A,N/A,N/A,DOP28 W3 Organoids T002604,28
2,31,1,165.68,211,0.29,0.32,0.66,2.2,43.48,0.62,8/22/2024,T002604,1,38,N/A,N/A,N/A,N/A,DOP28 W3 Organoids T002604,28
2,32,1,167.88,1022,1.38,1.57,0.89,16.6,193.28,1.56,8/22/2024,T002604,1,38,N/A,N/A,N/A,N/A,DOP28 W3 Organoids T002604,28
2,33,1,184.48,450,0.61,0.86,0.77,20.4,79.76,1.51,8/22/2024,T002604,1,38,N/A,N/A,N/A,N/A,DOP28 W3 Organoids T002604,28
2,34,1,204.88,891,1.21,1.34,0.94,12.7,172.49,1.43,8/22/2024,T002604,1,38,N/A,N/A,N/A,N/A,DOP28 W3 Organoids T002604,28
