Group,,instance,burstTime,SPB,SPBch,burstDur,burstPeak,IBI,bISI_mean,bISI_CV,date,wellplateID,wellNo,runID,wellGroupName,wellGroupColor,Plating Date,control,assayTag,div
Group,Instance,Instance,,Spikes per Burst,Spikes per Burst per Electrode,Burst Duration,Burst Peak Firing Rate,IBI,Mean Burst ISI,Burst ISI CV,Date,Wellplate ID,Well Number,Assay Run ID,Well Group Name,Well Group Color,,Control,Assay Tag,DIV
2,0,1,2,1024,1.02,1.12,0.9,N/A,101.88,1.49,8/16/2024,T002604,1,32,N/A,N/A,N/A,N/A,DOP22 W3 Organoids T002604,23
2,1,1,12.77,599,0.6,0.64,0.81,3.83,46.57,1.01,8/16/2024,T002604,1,32,Default Group,#999999,24.7.2024,0,DOP23 W3 Organoids T002604,23
2,2,1,16.6,2141,2.13,1.79,1.33,1.04,219.49,1.56,8/16/2024,T002604,1,32,Default Group,#999999,24.7.2024,0,DOP23 W3 Organoids T002604,23
2,3,1,17.64,359,0.36,0.26,1.09,16.03,47.54,0.74,8/16/2024,T002604,1,32,Default Group,#999999,24.7.2024,0,DOP23 W3 Organoids T002604,23
2,4,1,33.67,1242,1.24,1.12,1.12,6.43,103.41,1.38,8/16/2024,T002604,1,32,Default Group,#999999,24.7.2024,0,DOP23 W3 Organoids T002604,23
2,5,1,40.1,696,0.69,1.11,0.63,7.5,124.79,1.61,8/16/2024,T002604,1,32,Default Group,#999999,24.7.2024,0,DOP23 W3 Organoids T002604,23
2,6,1,47.6,925,0.92,1.09,0.89,1.08,100.5,1.41,8/16/2024,T002604,1,32,Default Group,#999999,24.7.2024,0,DOP23 W3 Organoids T002604,23
2,7,1,48.68,0,0,0,0.65,3.61,N/A,N/A,8/16/2024,T002604,1,32,Default Group,#999999,24.7.2024,0,DOP23 W3 Organoids T002604,23
2,8,1,52.29,450,0.45,0.61,0.64,12.05,67.29,1.13,8/16/2024,T002604,1,32,Default Group,#999999,24.7.2024,0,DOP23 W3 Organoids T002604,23
2,9,1,64.34,730,0.73,0.71,0.93,6.57,62.66,1.13,8/16/2024,T002604,1,32,Default Group,#999999,24.7.2024,0,DOP23 W3 Organoids T002604,23
2,10,1,70.91,474,0.47,0.63,0.68,2.08,78.04,1.05,8/16/2024,T002604,1,32,Default Group,#999999,24.7.2024,0,DOP23 W3 Organoids T002604,23
2,11,1,72.99,361,0.36,0.51,0.64,2.17,66.5,0.88,8/16/2024,T002604,1,32,Default Group,#999999,24.7.2024,0,DOP23 W3 Organoids T002604,23
2,12,1,75.16,1156,1.15,1.74,0.69,3.7,233.78,1.46,8/16/2024,T002604,1,32,Default Group,#999999,24.7.2024,0,DOP23 W3 Organoids T002604,23
2,13,1,78.86,936,0.93,1.32,0.68,9.81,116.31,1.69,8/16/2024,T002604,1,32,Default Group,#999999,24.7.2024,0,DOP23 W3 Organoids T002604,23
2,14,1,88.67,398,0.4,0.45,0.66,2.59,40.32,1,8/16/2024,T002604,1,32,Default Group,#999999,24.7.2024,0,DOP23 W3 Organoids T002604,23
2,15,1,91.26,797,0.79,0.96,0.81,3.43,110.1,1.27,8/16/2024,T002604,1,32,Default Group,#999999,24.7.2024,0,DOP23 W3 Organoids T002604,23
2,16,1,94.69,1850,1.84,0.77,2.29,9.94,87.56,1.13,8/16/2024,T002604,1,32,Default Group,#999999,24.7.2024,0,DOP23 W3 Organoids T002604,23
2,17,1,104.63,468,0.47,0.64,0.67,3.72,54.65,1.43,8/16/2024,T002604,1,32,Default Group,#999999,24.7.2024,0,DOP23 W3 Organoids T002604,23
2,18,1,108.35,711,0.71,1.1,0.64,7.79,106.68,1.49,8/16/2024,T002604,1,32,Default Group,#999999,24.7.2024,0,DOP23 W3 Organoids T002604,23
2,19,1,116.14,520,0.52,0.64,0.75,3.33,47.36,1.15,8/16/2024,T002604,1,32,Default Group,#999999,24.7.2024,0,DOP23 W3 Organoids T002604,23
2,20,1,119.47,876,0.87,0.79,1.08,12.9,66.58,1.3,8/16/2024,T002604,1,32,Default Group,#999999,24.7.2024,0,DOP23 W3 Organoids T002604,23
2,21,1,132.37,796,0.79,0.94,0.92,1.64,85.29,1.28,8/16/2024,T002604,1,32,Default Group,#999999,24.7.2024,0,DOP23 W3 Organoids T002604,23
2,22,1,134.01,156,0.16,0.19,0.63,4.24,46.7,0.69,8/16/2024,T002604,1,32,Default Group,#999999,24.7.2024,0,DOP23 W3 Organoids T002604,23
2,23,1,138.25,548,0.55,0.69,0.7,12.16,50.84,1.45,8/16/2024,T002604,1,32,Default Group,#999999,24.7.2024,0,DOP23 W3 Organoids T002604,23
2,24,1,150.41,1117,1.11,0.79,1.3,5,81.06,1.37,8/16/2024,T002604,1,32,Default Group,#999999,24.7.2024,0,DOP23 W3 Organoids T002604,23
