Group,,instance,burstTime,SPB,SPBch,burstDur,burstPeak,IBI,bISI_mean,bISI_CV,date,wellplateID,wellNo,runID,wellGroupName,wellGroupColor,Plating Date,control,assayTag,div
Group,Instance,Instance,,Spikes per Burst,Spikes per Burst per Electrode,Burst Duration,Burst Peak Firing Rate,IBI,Mean Burst ISI,Burst ISI CV,Date,Wellplate ID,Well Number,Assay Run ID,Well Group Name,Well Group Color,,Control,Assay Tag,DIV
2,0,1,1.34,70,0.56,0.53,0.79,N/A,48.34,0.47,7/29/2024,T002604,1,10,N/A,N/A,N/A,N/A,DOP5 W3 Organoids T002604,5
2,1,1,5.8,71,0.57,0.59,0.78,2.6,63.69,1.13,7/29/2024,T002604,1,10,Default Group,#999999,24.7.2024,0,DOP5 W3 Organoids T002604,5
2,2,1,8.4,75,0.6,0.49,0.94,1.41,52.36,0.87,7/29/2024,T002604,1,10,Default Group,#999999,24.7.2024,0,DOP5 W3 Organoids T002604,5
2,3,1,9.81,118,0.94,0.69,1.14,2.43,64.17,1.24,7/29/2024,T002604,1,10,Default Group,#999999,24.7.2024,0,DOP5 W3 Organoids T002604,5
2,4,1,12.24,92,0.74,0.71,0.82,3.29,68.93,0.72,7/29/2024,T002604,1,10,Default Group,#999999,24.7.2024,0,DOP5 W3 Organoids T002604,5
2,5,1,15.53,74,0.59,0.58,0.84,4.37,59.8,0.75,7/29/2024,T002604,1,10,Default Group,#999999,24.7.2024,0,DOP5 W3 Organoids T002604,5
2,6,1,19.9,91,0.73,0.96,0.69,2.91,59.36,0.76,7/29/2024,T002604,1,10,Default Group,#999999,24.7.2024,0,DOP5 W3 Organoids T002604,5
2,7,1,22.81,178,1.42,0.87,1.54,2.14,86.55,1.13,7/29/2024,T002604,1,10,Default Group,#999999,24.7.2024,0,DOP5 W3 Organoids T002604,5
2,8,1,24.95,59,0.47,0.45,0.71,4.66,55.17,0.91,7/29/2024,T002604,1,10,Default Group,#999999,24.7.2024,0,DOP5 W3 Organoids T002604,5
2,9,1,29.61,76,0.61,0.48,1.03,2.16,50.39,0.52,7/29/2024,T002604,1,10,Default Group,#999999,24.7.2024,0,DOP5 W3 Organoids T002604,5
2,10,1,31.77,208,1.66,1.4,1.16,7.51,139.21,1.59,7/29/2024,T002604,1,10,Default Group,#999999,24.7.2024,0,DOP5 W3 Organoids T002604,5
2,11,1,39.28,69,0.55,0.7,0.77,2.76,50.57,0.62,7/29/2024,T002604,1,10,Default Group,#999999,24.7.2024,0,DOP5 W3 Organoids T002604,5
2,12,1,42.04,65,0.52,0.56,0.77,3.97,59.32,0.82,7/29/2024,T002604,1,10,Default Group,#999999,24.7.2024,0,DOP5 W3 Organoids T002604,5
2,13,1,46.01,78,0.62,0.61,0.8,3.18,50.38,0.59,7/29/2024,T002604,1,10,Default Group,#999999,24.7.2024,0,DOP5 W3 Organoids T002604,5
2,14,1,49.19,97,0.78,0.91,0.84,2.84,59.38,1.01,7/29/2024,T002604,1,10,Default Group,#999999,24.7.2024,0,DOP5 W3 Organoids T002604,5
2,15,1,52.03,74,0.59,0.67,0.84,1.74,43.13,0.3,7/29/2024,T002604,1,10,Default Group,#999999,24.7.2024,0,DOP5 W3 Organoids T002604,5
2,16,1,53.77,164,1.31,1.25,1.08,4.59,134.62,1.36,7/29/2024,T002604,1,10,Default Group,#999999,24.7.2024,0,DOP5 W3 Organoids T002604,5
