Group,,instance,burstTime,SPB,SPBch,burstDur,burstPeak,IBI,bISI_mean,bISI_CV,date,wellplateID,wellNo,runID,assayTag,div,wellGroupName,wellGroupColor,Plating Date,control
Group,Instance,Instance,,Spikes per Burst,Spikes per Burst per Electrode,Burst Duration,Burst Peak Firing Rate,IBI,Mean Burst ISI,Burst ISI CV,Date,Wellplate ID,Well Number,Assay Run ID,Assay Tag,DIV,Well Group Name,Well Group Color,,Control
1,0,1,6.82,37,0.97,0.96,0.98,N/A,59.02,1.16,4/17/2024,T002604,1,000083,DOP28 W3 Organoids T002604,28,Default Group,#999999,20.3.2024,0
1,1,1,13.01,19,0.5,0.54,0.73,7.62,42.19,0.25,4/17/2024,T002604,1,000083,DOP28 W3 Organoids T002604,28,Default Group,#999999,20.3.2024,0
1,2,1,20.63,19,0.5,0.54,0.7,3.98,64.46,0.48,4/17/2024,T002604,1,000083,DOP28 W3 Organoids T002604,28,Default Group,#999999,20.3.2024,0
1,3,1,24.61,35,0.92,1.33,0.72,1.72,41.66,0.28,4/17/2024,T002604,1,000083,DOP28 W3 Organoids T002604,28,Default Group,#999999,20.3.2024,0
1,4,1,26.33,18,0.47,0.44,0.6,5.71,108.03,1.02,4/17/2024,T002604,1,000083,DOP28 W3 Organoids T002604,28,Default Group,#999999,20.3.2024,0
1,5,1,32.04,47,1.24,1.43,0.78,8.21,120.01,1.91,4/17/2024,T002604,1,000083,DOP28 W3 Organoids T002604,28,Default Group,#999999,20.3.2024,0
1,6,1,40.25,24,0.63,0.6,0.9,3.12,58.51,0.41,4/17/2024,T002604,1,000083,DOP28 W3 Organoids T002604,28,Default Group,#999999,20.3.2024,0
1,7,1,43.37,25,0.66,0.7,0.66,1.8,126.3,1.09,4/17/2024,T002604,1,000083,DOP28 W3 Organoids T002604,28,Default Group,#999999,20.3.2024,0
1,8,1,45.17,29,0.76,0.76,0.93,1.07,64.14,1.38,4/17/2024,T002604,1,000083,DOP28 W3 Organoids T002604,28,Default Group,#999999,20.3.2024,0
1,9,1,46.24,10,0.26,0.24,0.61,4.32,44.4,0,4/17/2024,T002604,1,000083,DOP28 W3 Organoids T002604,28,Default Group,#999999,20.3.2024,0
1,10,1,50.56,33,0.87,1.36,0.63,8.2,57.53,0.81,4/17/2024,T002604,1,000083,DOP28 W3 Organoids T002604,28,Default Group,#999999,20.3.2024,0
1,11,1,58.76,27,0.71,0.87,0.78,1.28,73.08,0.99,4/17/2024,T002604,1,000083,DOP28 W3 Organoids T002604,28,Default Group,#999999,20.3.2024,0
1,12,1,60.04,11,0.29,0.29,0.61,1.31,41,0.05,4/17/2024,T002604,1,000083,DOP28 W3 Organoids T002604,28,Default Group,#999999,20.3.2024,0
1,13,1,61.35,18,0.47,0.47,0.6,2.41,36.07,0.22,4/17/2024,T002604,1,000083,DOP28 W3 Organoids T002604,28,Default Group,#999999,20.3.2024,0
1,14,1,63.76,24,0.63,0.74,0.77,5.09,151.89,1.1,4/17/2024,T002604,1,000083,DOP28 W3 Organoids T002604,28,Default Group,#999999,20.3.2024,0
1,15,1,68.85,37,0.97,1.06,0.82,2.92,145.76,1.15,4/17/2024,T002604,1,000083,DOP28 W3 Organoids T002604,28,Default Group,#999999,20.3.2024,0
1,16,1,71.77,22,0.58,0.64,0.8,2.72,77.12,0.95,4/17/2024,T002604,1,000083,DOP28 W3 Organoids T002604,28,Default Group,#999999,20.3.2024,0
1,17,1,74.49,26,0.68,0.67,0.83,1.2,71.66,0.67,4/17/2024,T002604,1,000083,DOP28 W3 Organoids T002604,28,Default Group,#999999,20.3.2024,0
1,18,1,75.69,12,0.32,0.38,0.66,3.24,41.27,0.18,4/17/2024,T002604,1,000083,DOP28 W3 Organoids T002604,28,Default Group,#999999,20.3.2024,0
1,19,1,78.93,38,1,0.91,1.06,9.16,53.81,0.51,4/17/2024,T002604,1,000083,DOP28 W3 Organoids T002604,28,Default Group,#999999,20.3.2024,0
1,20,1,88.09,24,0.63,0.66,0.89,2.8,52.35,1.39,4/17/2024,T002604,1,000083,DOP28 W3 Organoids T002604,28,Default Group,#999999,20.3.2024,0
1,21,1,90.89,18,0.47,0.57,0.6,2.63,47.05,0.27,4/17/2024,T002604,1,000083,DOP28 W3 Organoids T002604,28,Default Group,#999999,20.3.2024,0
1,22,1,93.52,21,0.55,0.7,0.61,4.89,97.44,1.55,4/17/2024,T002604,1,000083,DOP28 W3 Organoids T002604,28,Default Group,#999999,20.3.2024,0
1,23,1,98.41,25,0.66,0.75,0.9,3.12,155.41,1.27,4/17/2024,T002604,1,000083,DOP28 W3 Organoids T002604,28,Default Group,#999999,20.3.2024,0
1,24,1,101.53,22,0.58,0.79,0.76,3.96,40.94,0.37,4/17/2024,T002604,1,000083,DOP28 W3 Organoids T002604,28,Default Group,#999999,20.3.2024,0
1,25,1,105.49,19,0.5,0.7,0.75,4.43,50.31,0.29,4/17/2024,T002604,1,000083,DOP28 W3 Organoids T002604,28,Default Group,#999999,20.3.2024,0
1,26,1,109.92,22,0.58,0.75,0.72,7.2,121.1,1.14,4/17/2024,T002604,1,000083,DOP28 W3 Organoids T002604,28,Default Group,#999999,20.3.2024,0
1,27,1,117.12,66,1.74,0.62,2.14,4.19,79.94,1.23,4/17/2024,T002604,1,000083,DOP28 W3 Organoids T002604,28,Default Group,#999999,20.3.2024,0
1,28,1,121.31,17,0.45,0.36,0.62,1.12,63.8,0.84,4/17/2024,T002604,1,000083,DOP28 W3 Organoids T002604,28,Default Group,#999999,20.3.2024,0
1,29,1,122.43,23,0.61,0.85,0.65,2.35,263.58,0.91,4/17/2024,T002604,1,000083,DOP28 W3 Organoids T002604,28,Default Group,#999999,20.3.2024,0
1,30,1,124.78,17,0.45,0.62,0.6,3.79,125.16,1.03,4/17/2024,T002604,1,000083,DOP28 W3 Organoids T002604,28,Default Group,#999999,20.3.2024,0
1,31,1,128.57,26,0.68,0.73,1.08,5.69,54.82,0.44,4/17/2024,T002604,1,000083,DOP28 W3 Organoids T002604,28,Default Group,#999999,20.3.2024,0
1,32,1,134.26,31,0.82,0.67,1.03,5.12,115.79,1.31,4/17/2024,T002604,1,000083,DOP28 W3 Organoids T002604,28,Default Group,#999999,20.3.2024,0
1,33,1,139.38,18,0.47,0.49,0.62,2.68,31.24,0.2,4/17/2024,T002604,1,000083,DOP28 W3 Organoids T002604,28,Default Group,#999999,20.3.2024,0
1,34,1,142.06,24,0.63,0.59,0.8,1.69,49.22,0.4,4/17/2024,T002604,1,000083,DOP28 W3 Organoids T002604,28,Default Group,#999999,20.3.2024,0
1,35,1,143.75,14,0.37,0.36,0.68,4.26,35.52,0.1,4/17/2024,T002604,1,000083,DOP28 W3 Organoids T002604,28,Default Group,#999999,20.3.2024,0
1,36,1,148.01,19,0.5,0.55,0.74,8.07,47.06,0.49,4/17/2024,T002604,1,000083,DOP28 W3 Organoids T002604,28,Default Group,#999999,20.3.2024,0
1,37,1,156.08,28,0.74,0.8,0.91,3.49,40.2,0.51,4/17/2024,T002604,1,000083,DOP28 W3 Organoids T002604,28,Default Group,#999999,20.3.2024,0
1,38,1,159.57,24,0.63,0.56,0.88,5.02,46.37,0.34,4/17/2024,T002604,1,000083,DOP28 W3 Organoids T002604,28,Default Group,#999999,20.3.2024,0
1,39,1,164.59,21,0.55,0.46,0.84,2.31,32.04,0.34,4/17/2024,T002604,1,000083,DOP28 W3 Organoids T002604,28,Default Group,#999999,20.3.2024,0
1,40,1,166.9,67,1.76,0.63,2.33,5.18,86.25,0.93,4/17/2024,T002604,1,000083,DOP28 W3 Organoids T002604,28,Default Group,#999999,20.3.2024,0
1,41,1,172.08,33,0.87,0.81,1.03,6.01,98.33,1.22,4/17/2024,T002604,1,000083,DOP28 W3 Organoids T002604,28,Default Group,#999999,20.3.2024,0
1,42,1,178.09,22,0.58,0.72,0.78,2.61,42.93,0.38,4/17/2024,T002604,1,000083,DOP28 W3 Organoids T002604,28,Default Group,#999999,20.3.2024,0
1,43,1,180.7,30,0.79,0.63,0.99,2.17,44.14,0.36,4/17/2024,T002604,1,000083,DOP28 W3 Organoids T002604,28,Default Group,#999999,20.3.2024,0
