Group,,instance,burstTime,SPB,SPBch,burstDur,burstPeak,IBI,bISI_mean,bISI_CV,date,wellplateID,wellNo,runID,wellGroupName,wellGroupColor,Plating Date,control,assayTag,div
Group,Instance,Instance,,Spikes per Burst,Spikes per Burst per Electrode,Burst Duration,Burst Peak Firing Rate,IBI,Mean Burst ISI,Burst ISI CV,Date,Wellplate ID,Well Number,Assay Run ID,Well Group Name,Well Group Color,,Control,Assay Tag,DIV
2,0,1,3.81,168,0.64,0.85,0.74,N/A,60.95,1.11,8/2/2024,T002604,1,16,N/A,N/A,N/A,N/A,DOP9 W3 Organoids T002604,9
2,1,1,20.09,185,0.71,0.94,0.7,2.96,70.14,1.04,8/2/2024,T002604,1,16,Default Group,#999999,24.7.2024,0,DOP9 W3 Organoids T002604,9
2,2,1,23.05,218,0.84,0.99,0.8,4.19,102.52,1.17,8/2/2024,T002604,1,16,Default Group,#999999,24.7.2024,0,DOP9 W3 Organoids T002604,9
2,3,1,27.24,922,3.53,1.28,2.76,14.74,119.97,1.35,8/2/2024,T002604,1,16,Default Group,#999999,24.7.2024,0,DOP9 W3 Organoids T002604,9
2,4,1,41.98,281,1.08,1.64,0.72,5.43,70.38,1.99,8/2/2024,T002604,1,16,Default Group,#999999,24.7.2024,0,DOP9 W3 Organoids T002604,9
2,5,1,47.41,122,0.47,0.67,0.65,5.97,79.37,0.86,8/2/2024,T002604,1,16,Default Group,#999999,24.7.2024,0,DOP9 W3 Organoids T002604,9
2,6,1,53.38,201,0.77,0.73,0.99,4.05,63.99,0.87,8/2/2024,T002604,1,16,Default Group,#999999,24.7.2024,0,DOP9 W3 Organoids T002604,9
2,7,1,57.43,151,0.58,0.75,0.74,5.4,34.6,1.37,8/2/2024,T002604,1,16,Default Group,#999999,24.7.2024,0,DOP9 W3 Organoids T002604,9
2,8,1,62.83,328,1.26,1.88,0.67,9.14,82.24,1.32,8/2/2024,T002604,1,16,Default Group,#999999,24.7.2024,0,DOP9 W3 Organoids T002604,9
2,9,1,71.97,218,0.84,0.81,0.88,6.67,52.88,1.05,8/2/2024,T002604,1,16,Default Group,#999999,24.7.2024,0,DOP9 W3 Organoids T002604,9
2,10,1,78.64,166,0.64,0.93,0.63,11.28,53.18,0.84,8/2/2024,T002604,1,16,Default Group,#999999,24.7.2024,0,DOP9 W3 Organoids T002604,9
2,11,1,89.92,158,0.61,0.99,0.7,2.92,78.55,1.57,8/2/2024,T002604,1,16,Default Group,#999999,24.7.2024,0,DOP9 W3 Organoids T002604,9
2,12,1,92.84,117,0.45,0.62,0.66,3.8,54.89,1.19,8/2/2024,T002604,1,16,Default Group,#999999,24.7.2024,0,DOP9 W3 Organoids T002604,9
2,13,1,96.64,306,1.17,1.82,0.63,5.46,142.21,1.93,8/2/2024,T002604,1,16,Default Group,#999999,24.7.2024,0,DOP9 W3 Organoids T002604,9
2,14,1,102.1,121,0.46,0.47,0.65,3.02,47.52,1.07,8/2/2024,T002604,1,16,Default Group,#999999,24.7.2024,0,DOP9 W3 Organoids T002604,9
2,15,1,105.12,543,2.08,0.84,2.33,15.26,87.22,1.2,8/2/2024,T002604,1,16,Default Group,#999999,24.7.2024,0,DOP9 W3 Organoids T002604,9
2,16,1,120.38,120,0.46,0.5,0.78,1.54,65.28,0.96,8/2/2024,T002604,1,16,Default Group,#999999,24.7.2024,0,DOP9 W3 Organoids T002604,9
2,17,1,121.92,220,0.84,1.11,0.78,21.04,98.91,1.33,8/2/2024,T002604,1,16,Default Group,#999999,24.7.2024,0,DOP9 W3 Organoids T002604,9
2,18,1,142.96,356,1.36,1.11,1.31,14.66,96.64,1.58,8/2/2024,T002604,1,16,Default Group,#999999,24.7.2024,0,DOP9 W3 Organoids T002604,9
2,19,1,157.62,109,0.42,0.42,0.72,1.18,46.01,0.63,8/2/2024,T002604,1,16,Default Group,#999999,24.7.2024,0,DOP9 W3 Organoids T002604,9
2,20,1,158.8,182,0.7,0.66,0.87,3.44,73.52,1.08,8/2/2024,T002604,1,16,Default Group,#999999,24.7.2024,0,DOP9 W3 Organoids T002604,9
2,21,1,162.24,162,0.62,0.97,0.69,1.5,60.72,0.69,8/2/2024,T002604,1,16,Default Group,#999999,24.7.2024,0,DOP9 W3 Organoids T002604,9
2,22,1,163.74,108,0.41,0.49,0.67,6.02,41.11,1.11,8/2/2024,T002604,1,16,Default Group,#999999,24.7.2024,0,DOP9 W3 Organoids T002604,9
2,23,1,169.76,137,0.52,0.59,0.75,2.66,51.31,0.74,8/2/2024,T002604,1,16,Default Group,#999999,24.7.2024,0,DOP9 W3 Organoids T002604,9
2,24,1,172.42,201,0.77,0.78,0.95,5.69,62.06,1.42,8/2/2024,T002604,1,16,Default Group,#999999,24.7.2024,0,DOP9 W3 Organoids T002604,9
2,25,1,178.11,209,0.8,0.82,0.92,3.99,79.88,1.06,8/2/2024,T002604,1,16,N/A,N/A,N/A,N/A,DOP9 W3 Organoids T002604,9
2,26,1,182.1,76,0.29,0.32,0.64,1.01,45.23,0.75,8/2/2024,T002604,1,16,N/A,N/A,N/A,N/A,DOP9 W3 Organoids T002605,9
2,27,1,183.11,90,0.34,0.3,0.73,1.15,32.25,0.5,8/2/2024,T002604,1,16,N/A,N/A,N/A,N/A,DOP9 W3 Organoids T002606,9
2,28,1,184.26,214,0.82,0.98,0.85,7.96,75.99,1.31,8/2/2024,T002604,1,16,N/A,N/A,N/A,N/A,DOP9 W3 Organoids T002607,9
2,29,1,192.22,139,0.53,0.8,0.67,8.3,84.5,0.58,8/2/2024,T002604,1,16,N/A,N/A,N/A,N/A,DOP9 W3 Organoids T002608,9
2,30,1,200.52,192,0.74,1.1,0.66,7.52,67.41,1.93,8/2/2024,T002604,1,16,N/A,N/A,N/A,N/A,DOP9 W3 Organoids T002609,9
2,31,1,208.04,209,0.8,1.28,0.68,2.96,109.38,1.5,8/2/2024,T002604,1,16,N/A,N/A,N/A,N/A,DOP9 W3 Organoids T002610,9
2,32,1,211,508,1.95,1.1,1.88,24.89,104.23,1.22,8/2/2024,T002604,1,16,N/A,N/A,N/A,N/A,DOP9 W3 Organoids T002611,9
2,33,1,235.89,245,0.94,1,0.93,20.42,110.37,1.43,8/2/2024,T002604,1,16,N/A,N/A,N/A,N/A,DOP9 W3 Organoids T002612,9
2,34,1,256.31,201,0.77,0.67,1,6.75,58.11,0.82,8/2/2024,T002604,1,16,N/A,N/A,N/A,N/A,DOP9 W3 Organoids T002613,9
2,35,1,263.06,153,0.59,0.8,0.69,7.7,64.82,0.83,8/2/2024,T002604,1,16,N/A,N/A,N/A,N/A,DOP9 W3 Organoids T002614,9
2,36,1,270.76,167,0.64,0.76,0.75,2.48,69.51,0.93,8/2/2024,T002604,1,16,N/A,N/A,N/A,N/A,DOP9 W3 Organoids T002615,9
2,37,1,273.24,204,0.78,0.96,0.75,3.63,69.39,1.21,8/2/2024,T002604,1,16,N/A,N/A,N/A,N/A,DOP9 W3 Organoids T002616,9
2,38,1,276.87,144,0.55,0.7,0.72,3.78,50.71,0.66,8/2/2024,T002604,1,16,N/A,N/A,N/A,N/A,DOP9 W3 Organoids T002617,9
2,39,1,280.65,112,0.43,0.48,0.73,2.12,72.64,0.8,8/2/2024,T002604,1,16,N/A,N/A,N/A,N/A,DOP9 W3 Organoids T002618,9
2,40,1,282.77,222,0.85,0.7,1.02,10.65,54.89,1.08,8/2/2024,T002604,1,16,N/A,N/A,N/A,N/A,DOP9 W3 Organoids T002619,9
2,41,1,293.42,144,0.55,0.69,0.67,1.43,51.51,1.19,8/2/2024,T002604,1,16,N/A,N/A,N/A,N/A,DOP9 W3 Organoids T002620,9
2,42,1,294.85,169,0.65,0.91,0.65,1.32,109.04,1.31,8/2/2024,T002604,1,16,N/A,N/A,N/A,N/A,DOP9 W3 Organoids T002621,9
2,43,1,296.17,81,0.31,0.33,0.64,3.82,54.17,0.67,8/2/2024,T002604,1,16,N/A,N/A,N/A,N/A,DOP9 W3 Organoids T002622,9
2,44,1,299.99,318,1.22,1.3,0.98,20.77,98.87,1.31,8/2/2024,T002604,1,16,N/A,N/A,N/A,N/A,DOP9 W3 Organoids T002623,9
2,45,1,320.76,99,0.38,0.46,0.65,1.71,42.27,0.94,8/2/2024,T002604,1,16,N/A,N/A,N/A,N/A,DOP9 W3 Organoids T002624,9
