Group,,instance,burstTime,SPB,SPBch,burstDur,burstPeak,IBI,bISI_mean,bISI_CV,date,wellplateID,wellNo,runID,wellGroupName,wellGroupColor,Plating Date,control,assayTag,div
Group,Instance,Instance,,Spikes per Burst,Spikes per Burst per Electrode,Burst Duration,Burst Peak Firing Rate,IBI,Mean Burst ISI,Burst ISI CV,Date,Wellplate ID,Well Number,Assay Run ID,Well Group Name,Well Group Color,,Control,Assay Tag,DIV
2,0,1,5.12,1540,1.89,0.9,1.96,N/A,99.69,1.32,8/7/2024,T002604,1,21,N/A,N/A,N/A,N/A,DOP14 W3 Organoids T002604,14
2,1,1,11.72,752,0.92,1.03,0.85,27.79,97.05,1.26,8/7/2024,T002604,1,21,Default Group,#999999,24.7.2024,0,DOP14 W3 Organoids T002604,14
2,2,1,39.51,721,0.89,0.85,1.05,6.44,78.7,1.25,8/7/2024,T002604,1,21,Default Group,#999999,24.7.2024,0,DOP14 W3 Organoids T002604,14
2,3,1,45.95,619,0.76,0.61,1.05,4.29,75.07,0.97,8/7/2024,T002604,1,21,Default Group,#999999,24.7.2024,0,DOP14 W3 Organoids T002604,14
2,4,1,50.24,370,0.46,0.54,0.69,3.07,65.24,0.95,8/7/2024,T002604,1,21,Default Group,#999999,24.7.2024,0,DOP14 W3 Organoids T002604,14
2,5,1,53.31,914,1.12,0.89,1.25,9.73,85.15,1.21,8/7/2024,T002604,1,21,Default Group,#999999,24.7.2024,0,DOP14 W3 Organoids T002604,14
2,6,1,63.04,592,0.73,0.75,0.85,14.01,103.17,1.08,8/7/2024,T002604,1,21,Default Group,#999999,24.7.2024,0,DOP14 W3 Organoids T002604,14
2,7,1,77.05,639,0.79,1.08,0.78,12.53,81.74,1.41,8/7/2024,T002604,1,21,Default Group,#999999,24.7.2024,0,DOP14 W3 Organoids T002604,14
2,8,1,89.58,624,0.77,0.77,0.94,10.29,91.7,1.21,8/7/2024,T002604,1,21,Default Group,#999999,24.7.2024,0,DOP14 W3 Organoids T002604,14
2,9,1,99.87,769,0.95,1.38,0.71,36.99,109.41,1.63,8/7/2024,T002604,1,21,Default Group,#999999,24.7.2024,0,DOP14 W3 Organoids T002604,14
2,10,1,136.86,524,0.64,0.92,0.76,9.51,92.14,1.17,8/7/2024,T002604,1,21,Default Group,#999999,24.7.2024,0,DOP14 W3 Organoids T002604,14
2,11,1,146.37,4017,4.94,1.04,4.74,38.44,106,1.2,8/7/2024,T002604,1,21,Default Group,#999999,24.7.2024,0,DOP14 W3 Organoids T002604,14
2,12,1,184.81,1578,1.94,0.91,2.07,38.57,94.55,1.27,8/7/2024,T002604,1,21,Default Group,#999999,24.7.2024,0,DOP14 W3 Organoids T002604,14
2,13,1,223.38,715,0.88,0.86,0.94,33.51,108.43,1.07,8/7/2024,T002604,1,21,Default Group,#999999,24.7.2024,0,DOP14 W3 Organoids T002604,14
2,14,1,256.89,1105,1.36,0.81,1.61,29.17,80.88,1.07,8/7/2024,T002604,1,21,Default Group,#999999,24.7.2024,0,DOP14 W3 Organoids T002604,14
2,15,1,286.06,3652,4.49,0.95,4.64,7.26,101.18,1.2,8/7/2024,T002604,1,21,Default Group,#999999,24.7.2024,0,DOP14 W3 Organoids T002604,14
2,16,1,293.32,1031,1.27,1.04,1.22,4.67,115.54,1.37,8/7/2024,T002604,1,21,Default Group,#999999,24.7.2024,0,DOP14 W3 Organoids T002604,14
2,17,1,297.99,628,0.77,0.68,1,64.85,75.09,1.02,8/7/2024,T002604,1,21,Default Group,#999999,24.7.2024,0,DOP14 W3 Organoids T002604,14
2,18,1,362.84,436,0.54,0.71,0.69,3.55,70.24,1.14,8/7/2024,T002604,1,21,Default Group,#999999,24.7.2024,0,DOP14 W3 Organoids T002604,14
2,19,1,366.39,1369,1.68,1.78,0.97,34.35,152.43,1.7,8/7/2024,T002604,1,21,Default Group,#999999,24.7.2024,0,DOP14 W3 Organoids T002604,14
2,20,1,400.74,638,0.78,0.95,0.84,6.49,79.69,1.21,8/7/2024,T002604,1,21,Default Group,#999999,24.7.2024,0,DOP14 W3 Organoids T002604,14
2,21,1,407.23,470,0.58,0.83,0.7,4.85,79.69,0.91,8/7/2024,T002604,1,21,Default Group,#999999,24.7.2024,0,DOP14 W3 Organoids T002604,14
2,22,1,412.08,1400,1.72,1.04,1.57,22.13,104.38,1.46,8/7/2024,T002604,1,21,Default Group,#999999,24.7.2024,0,DOP14 W3 Organoids T002604,14
2,23,1,434.21,1737,2.14,1.28,1.63,36.53,139.89,1.46,8/7/2024,T002604,1,21,Default Group,#999999,24.7.2024,0,DOP14 W3 Organoids T002604,14
2,24,1,470.74,945,1.16,0.86,1.34,5.37,91.59,1.2,8/7/2024,T002604,1,21,Default Group,#999999,24.7.2024,0,DOP14 W3 Organoids T002604,14
2,25,1,476.11,3423,4.21,0.89,4.65,42.66,92.2,1.16,8/7/2024,T002604,1,21,N/A,N/A,N/A,N/A,DOP14 W3 Organoids T002604,14
2,26,1,518.77,473,0.58,0.75,0.73,8.75,72.39,0.94,8/7/2024,T002604,1,21,N/A,N/A,N/A,N/A,DOP14 W3 Organoids T002604,14
2,27,1,527.52,647,0.8,0.81,0.93,13.68,67.58,0.95,8/7/2024,T002604,1,21,N/A,N/A,N/A,N/A,DOP14 W3 Organoids T002604,14
