Group,,instance,burstTime,SPB,SPBch,burstDur,burstPeak,IBI,bISI_mean,bISI_CV,date,wellplateID,wellNo,runID,wellGroupName,wellGroupColor,Plating Date,control,assayTag,div
Group,Instance,Instance,,Spikes per Burst,Spikes per Burst per Electrode,Burst Duration,Burst Peak Firing Rate,IBI,Mean Burst ISI,Burst ISI CV,Date,Wellplate ID,Well Number,Assay Run ID,Well Group Name,Well Group Color,,Control,Assay Tag,DIV
2,0,1,13.47,540,0.96,0.75,1.2,N/A,56,0.97,8/5/2024,T002604,1,18,N/A,N/A,N/A,N/A,DOP12 W3 Organoids T002604,12
2,1,1,35.31,451,0.8,0.69,1.03,2.01,68.84,1.14,8/5/2024,T002604,1,18,Default Group,#999999,24.7.2024,0,DOP12 W3 Organoids T002604,12
2,2,1,37.32,417,0.74,0.67,0.99,7.57,54.12,1.1,8/5/2024,T002604,1,18,Default Group,#999999,24.7.2024,0,DOP12 W3 Organoids T002604,12
2,3,1,44.89,570,1.01,0.62,1.45,1.61,87.79,1.14,8/5/2024,T002604,1,18,Default Group,#999999,24.7.2024,0,DOP12 W3 Organoids T002604,12
2,4,1,46.5,1520,2.7,1.13,2.4,11.72,107.07,1.33,8/5/2024,T002604,1,18,Default Group,#999999,24.7.2024,0,DOP12 W3 Organoids T002604,12
2,5,1,58.22,689,1.23,0.85,1.38,14.75,90.35,1.15,8/5/2024,T002604,1,18,Default Group,#999999,24.7.2024,0,DOP12 W3 Organoids T002604,12
2,6,1,72.97,579,1.03,1.15,0.89,11.24,83.16,1.65,8/5/2024,T002604,1,18,Default Group,#999999,24.7.2024,0,DOP12 W3 Organoids T002604,12
2,7,1,84.21,482,0.86,0.98,0.86,1.65,70.63,1.26,8/5/2024,T002604,1,18,Default Group,#999999,24.7.2024,0,DOP12 W3 Organoids T002604,12
2,8,1,85.86,292,0.52,0.53,0.83,10.87,56.78,0.9,8/5/2024,T002604,1,18,Default Group,#999999,24.7.2024,0,DOP12 W3 Organoids T002604,12
2,9,1,96.73,438,0.78,0.96,0.82,5.78,78.74,1.31,8/5/2024,T002604,1,18,Default Group,#999999,24.7.2024,0,DOP12 W3 Organoids T002604,12
2,10,1,102.51,908,1.62,1.45,1.29,26.46,114.64,1.51,8/5/2024,T002604,1,18,Default Group,#999999,24.7.2024,0,DOP12 W3 Organoids T002604,12
2,11,1,128.97,452,0.8,0.76,0.93,16.92,64.69,1.03,8/5/2024,T002604,1,18,Default Group,#999999,24.7.2024,0,DOP12 W3 Organoids T002604,12
2,12,1,145.89,309,0.55,0.49,0.96,2.2,49.85,0.84,8/5/2024,T002604,1,18,Default Group,#999999,24.7.2024,0,DOP12 W3 Organoids T002604,12
2,13,1,148.09,631,1.12,1.04,1.09,1.21,84.2,1.42,8/5/2024,T002604,1,18,Default Group,#999999,24.7.2024,0,DOP12 W3 Organoids T002604,12
2,14,1,149.3,177,0.31,0.34,0.82,16.72,46.56,0.68,8/5/2024,T002604,1,18,Default Group,#999999,24.7.2024,0,DOP12 W3 Organoids T002604,12
2,15,1,166.02,887,1.58,1.66,0.93,8.74,95.78,1.83,8/5/2024,T002604,1,18,Default Group,#999999,24.7.2024,0,DOP12 W3 Organoids T002604,12
2,16,1,174.76,241,0.43,0.41,0.82,1.12,42.81,0.82,8/5/2024,T002604,1,18,Default Group,#999999,24.7.2024,0,DOP12 W3 Organoids T002604,12
2,17,1,175.88,407,0.72,0.67,0.95,1.26,57.69,0.89,8/5/2024,T002604,1,18,Default Group,#999999,24.7.2024,0,DOP12 W3 Organoids T002604,12
2,18,1,177.14,278,0.49,0.44,0.88,8.33,54.56,0.8,8/5/2024,T002604,1,18,Default Group,#999999,24.7.2024,0,DOP12 W3 Organoids T002604,12
2,19,1,185.47,610,1.09,1.04,0.99,18.3,65.42,1.13,8/5/2024,T002604,1,18,Default Group,#999999,24.7.2024,0,DOP12 W3 Organoids T002604,12
2,20,1,203.77,362,0.64,0.65,0.84,4.02,57.54,0.96,8/5/2024,T002604,1,18,Default Group,#999999,24.7.2024,0,DOP12 W3 Organoids T002604,12
2,21,1,207.79,351,0.62,0.79,0.8,1.88,60.06,1.2,8/5/2024,T002604,1,18,Default Group,#999999,24.7.2024,0,DOP12 W3 Organoids T002604,12
2,22,1,209.67,563,1,0.91,1.04,8.81,73.75,1,8/5/2024,T002604,1,18,Default Group,#999999,24.7.2024,0,DOP12 W3 Organoids T002604,12
2,23,1,218.48,1043,1.86,1.84,1.1,1.13,162.48,1.81,8/5/2024,T002604,1,18,Default Group,#999999,24.7.2024,0,DOP12 W3 Organoids T002604,12
2,24,1,219.61,231,0.41,0.36,0.92,3.89,52.32,0.85,8/5/2024,T002604,1,18,Default Group,#999999,24.7.2024,0,DOP12 W3 Organoids T002604,12
2,25,1,223.5,419,0.75,0.72,0.9,7.93,45.63,0.74,8/5/2024,T002604,1,18,N/A,N/A,N/A,N/A,DOP12 W3 Organoids T002604,12
2,26,1,231.43,619,1.1,0.76,1.36,12.5,74.04,1.23,8/5/2024,T002604,1,18,N/A,N/A,N/A,N/A,DOP12 W3 Organoids T002604,12
