Group,,instance,burstTime,SPB,SPBch,burstDur,burstPeak,IBI,bISI_mean,bISI_CV,date,wellplateID,wellNo,runID,wellGroupName,wellGroupColor,Plating Date,control,assayTag,div
Group,Instance,Instance,,Spikes per Burst,Spikes per Burst per Electrode,Burst Duration,Burst Peak Firing Rate,IBI,Mean Burst ISI,Burst ISI CV,Date,Wellplate ID,Well Number,Assay Run ID,Well Group Name,Well Group Color,,Control,Assay Tag,DIV
2,0,1,4.67,615,0.72,1,0.69,N/A,94.41,1.38,8/12/2024,T002604,1,26,N/A,N/A,N/A,N/A,DOP18 W3 Organoids T002604,19
2,1,1,23.31,917,1.08,1.26,0.94,6.19,116.94,1.39,8/12/2024,T002604,1,26,Default Group,#999999,24.7.2024,0,DOP19 W3 Organoids T002604,19
2,2,1,29.5,2254,2.65,0.89,2.89,5.73,107.31,1.21,8/12/2024,T002604,1,26,Default Group,#999999,24.7.2024,0,DOP19 W3 Organoids T002604,19
2,3,1,35.23,557,0.66,0.94,0.73,10.1,103.94,1.26,8/12/2024,T002604,1,26,Default Group,#999999,24.7.2024,0,DOP19 W3 Organoids T002604,19
2,4,1,45.33,632,0.74,0.77,0.92,17.46,93.99,1.21,8/12/2024,T002604,1,26,Default Group,#999999,24.7.2024,0,DOP19 W3 Organoids T002604,19
2,5,1,62.79,1151,1.35,1.49,0.97,10.83,130.25,1.45,8/12/2024,T002604,1,26,Default Group,#999999,24.7.2024,0,DOP19 W3 Organoids T002604,19
2,6,1,73.62,829,0.98,1.34,0.74,24.15,133.09,1.44,8/12/2024,T002604,1,26,Default Group,#999999,24.7.2024,0,DOP19 W3 Organoids T002604,19
2,7,1,97.77,1908,2.24,0.78,2.66,5.67,92.57,1.11,8/12/2024,T002604,1,26,Default Group,#999999,24.7.2024,0,DOP19 W3 Organoids T002604,19
2,8,1,103.44,1425,1.68,1.4,1.25,12.08,163.42,1.46,8/12/2024,T002604,1,26,Default Group,#999999,24.7.2024,0,DOP19 W3 Organoids T002604,19
2,9,1,115.52,2055,2.42,1,2.3,23.05,123.96,1.24,8/12/2024,T002604,1,26,Default Group,#999999,24.7.2024,0,DOP19 W3 Organoids T002604,19
2,10,1,138.57,1150,1.35,1.42,0.96,16.33,137.78,1.42,8/12/2024,T002604,1,26,Default Group,#999999,24.7.2024,0,DOP19 W3 Organoids T002604,19
2,11,1,154.9,817,0.96,0.96,1.01,1.24,106.71,1.21,8/12/2024,T002604,1,26,Default Group,#999999,24.7.2024,0,DOP19 W3 Organoids T002604,19
2,12,1,156.14,14,0.02,0.05,0.66,10.8,N/A,N/A,8/12/2024,T002604,1,26,Default Group,#999999,24.7.2024,0,DOP19 W3 Organoids T002604,19
2,13,1,166.94,1734,2.04,0.98,2.04,12.81,118.43,1.3,8/12/2024,T002604,1,26,Default Group,#999999,24.7.2024,0,DOP19 W3 Organoids T002604,19
2,14,1,179.75,1411,1.66,1.5,1.12,22.93,148.35,1.55,8/12/2024,T002604,1,26,Default Group,#999999,24.7.2024,0,DOP19 W3 Organoids T002604,19
2,15,1,202.68,482,0.57,0.81,0.66,5.8,66.82,0.99,8/12/2024,T002604,1,26,Default Group,#999999,24.7.2024,0,DOP19 W3 Organoids T002604,19
2,16,1,208.48,943,1.11,0.76,1.34,5.68,83.42,1.38,8/12/2024,T002604,1,26,Default Group,#999999,24.7.2024,0,DOP19 W3 Organoids T002604,19
2,17,1,214.16,1978,2.33,0.86,2.62,21.05,104.53,1.17,8/12/2024,T002604,1,26,Default Group,#999999,24.7.2024,0,DOP19 W3 Organoids T002604,19
2,18,1,235.21,1560,1.84,1.04,1.74,29.44,117.29,1.41,8/12/2024,T002604,1,26,Default Group,#999999,24.7.2024,0,DOP19 W3 Organoids T002604,19
