Group,,instance,burstTime,SPB,SPBch,burstDur,burstPeak,IBI,bISI_mean,bISI_CV,date,wellplateID,wellNo,runID,wellGroupName,wellGroupColor,Plating Date,control,assayTag,div
Group,Instance,Instance,,Spikes per Burst,Spikes per Burst per Electrode,Burst Duration,Burst Peak Firing Rate,IBI,Mean Burst ISI,Burst ISI CV,Date,Wellplate ID,Well Number,Assay Run ID,Well Group Name,Well Group Color,,Control,Assay Tag,DIV
2,0,1,16.21,426,0.54,0.89,0.55,N/A,75.76,1.62,8/14/2024,T002604,1,29,N/A,N/A,N/A,N/A,DOP20 W3 Organoids T002604,21
2,1,1,19.56,490,0.63,0.88,0.7,7.1,81.12,1.26,8/14/2024,T002604,1,29,Default Group,#999999,24.7.2024,0,DOP21 W3 Organoids T002604,21
2,2,1,26.66,594,0.76,0.81,0.94,7.11,95.49,1.19,8/14/2024,T002604,1,29,Default Group,#999999,24.7.2024,0,DOP21 W3 Organoids T002604,21
2,3,1,33.77,1026,1.31,1.05,1.19,1.12,109.42,1.46,8/14/2024,T002604,1,29,Default Group,#999999,24.7.2024,0,DOP21 W3 Organoids T002604,21
2,4,1,34.89,35,0.04,0.1,0.67,11.89,27.37,0.14,8/14/2024,T002604,1,29,Default Group,#999999,24.7.2024,0,DOP21 W3 Organoids T002604,21
2,5,1,46.78,364,0.46,0.77,0.56,5.12,80.02,1.28,8/14/2024,T002604,1,29,Default Group,#999999,24.7.2024,0,DOP21 W3 Organoids T002604,21
2,6,1,51.9,721,0.92,1.47,0.64,2.69,126.42,1.79,8/14/2024,T002604,1,29,Default Group,#999999,24.7.2024,0,DOP21 W3 Organoids T002604,21
2,7,1,54.59,397,0.51,0.84,0.56,5.61,77.09,1.2,8/14/2024,T002604,1,29,Default Group,#999999,24.7.2024,0,DOP21 W3 Organoids T002604,21
2,8,1,60.2,612,0.78,1,0.78,2.12,85.72,1.41,8/14/2024,T002604,1,29,Default Group,#999999,24.7.2024,0,DOP21 W3 Organoids T002604,21
2,9,1,62.32,356,0.45,0.52,0.72,7.33,60.72,1.03,8/14/2024,T002604,1,29,Default Group,#999999,24.7.2024,0,DOP21 W3 Organoids T002604,21
2,10,1,69.65,328,0.42,0.66,0.58,7.07,43.05,0.58,8/14/2024,T002604,1,29,Default Group,#999999,24.7.2024,0,DOP21 W3 Organoids T002604,21
2,11,1,76.72,154,0.2,0.27,0.6,1.36,45.8,0.75,8/14/2024,T002604,1,29,Default Group,#999999,24.7.2024,0,DOP21 W3 Organoids T002604,21
2,12,1,78.08,595,0.76,0.9,0.86,2.58,106.56,1.28,8/14/2024,T002604,1,29,Default Group,#999999,24.7.2024,0,DOP21 W3 Organoids T002604,21
2,13,1,80.66,452,0.58,0.6,0.76,8.84,52.48,1.11,8/14/2024,T002604,1,29,Default Group,#999999,24.7.2024,0,DOP21 W3 Organoids T002604,21
2,14,1,89.5,816,1.04,1.53,0.67,1.69,126.95,1.58,8/14/2024,T002604,1,29,Default Group,#999999,24.7.2024,0,DOP21 W3 Organoids T002604,21
2,15,1,91.19,298,0.38,0.54,0.58,19.21,60.47,1.02,8/14/2024,T002604,1,29,Default Group,#999999,24.7.2024,0,DOP21 W3 Organoids T002604,21
2,16,1,110.4,349,0.45,0.66,0.67,2.52,64.46,1.27,8/14/2024,T002604,1,29,Default Group,#999999,24.7.2024,0,DOP21 W3 Organoids T002604,21
2,17,1,112.92,1165,1.49,1.09,1.36,6.61,122.76,1.31,8/14/2024,T002604,1,29,Default Group,#999999,24.7.2024,0,DOP21 W3 Organoids T002604,21
2,18,1,119.53,565,0.72,0.93,0.85,6.3,98.03,1.19,8/14/2024,T002604,1,29,Default Group,#999999,24.7.2024,0,DOP21 W3 Organoids T002604,21
2,19,1,125.83,394,0.5,0.81,0.59,14.41,85.54,1.22,8/14/2024,T002604,1,29,Default Group,#999999,24.7.2024,0,DOP21 W3 Organoids T002604,21
