Group,,instance,burstTime,SPB,SPBch,burstDur,burstPeak,IBI,bISI_mean,bISI_CV,date,wellplateID,wellNo,runID,wellGroupName,wellGroupColor,Plating Date,control,assayTag,div
Group,Instance,Instance,,Spikes per Burst,Spikes per Burst per Electrode,Burst Duration,Burst Peak Firing Rate,IBI,Mean Burst ISI,Burst ISI CV,Date,Wellplate ID,Well Number,Assay Run ID,Well Group Name,Well Group Color,,Control,Assay Tag,DIV
2,0,1,3.78,20,0.36,0.49,0.49,N/A,102.63,0.48,7/26/2024,T002604,1,5,N/A,N/A,N/A,N/A,DOP2 W3 Organoids T002604,2
2,1,1,5.49,32,0.57,0.64,0.77,4,58.37,0.58,7/26/2024,T002604,1,5,Default Group,#999999,24.7.2024,0,DOP2 W3 Organoids T002604,2
2,2,1,9.49,28,0.5,0.6,0.55,2.63,102.66,1.09,7/26/2024,T002604,1,5,Default Group,#999999,24.7.2024,0,DOP2 W3 Organoids T002604,2
2,3,1,12.12,24,0.43,0.58,0.61,8.16,142.58,0.73,7/26/2024,T002604,1,5,Default Group,#999999,24.7.2024,0,DOP2 W3 Organoids T002604,2
2,4,1,20.28,17,0.3,0.53,0.43,1.82,75.73,0.46,7/26/2024,T002604,1,5,Default Group,#999999,24.7.2024,0,DOP2 W3 Organoids T002604,2
2,5,1,22.1,50,0.89,0.61,1.16,2.33,56.1,0.63,7/26/2024,T002604,1,5,Default Group,#999999,24.7.2024,0,DOP2 W3 Organoids T002604,2
2,6,1,24.43,15,0.27,0.74,0.38,2.92,N/A,N/A,7/26/2024,T002604,1,5,Default Group,#999999,24.7.2024,0,DOP2 W3 Organoids T002604,2
2,7,1,27.35,29,0.52,0.72,0.72,2.4,53.68,0.5,7/26/2024,T002604,1,5,Default Group,#999999,24.7.2024,0,DOP2 W3 Organoids T002604,2
2,8,1,29.75,19,0.34,0.87,0.4,4.08,66.23,0.62,7/26/2024,T002604,1,5,Default Group,#999999,24.7.2024,0,DOP2 W3 Organoids T002604,2
2,9,1,33.83,15,0.27,0.46,0.43,1.79,58.52,0.31,7/26/2024,T002604,1,5,Default Group,#999999,24.7.2024,0,DOP2 W3 Organoids T002604,2
2,10,1,35.62,35,0.62,0.57,0.83,2.74,61.91,0.84,7/26/2024,T002604,1,5,Default Group,#999999,24.7.2024,0,DOP2 W3 Organoids T002604,2
2,11,1,38.36,16,0.29,0.52,0.4,1.58,99,0.37,7/26/2024,T002604,1,5,Default Group,#999999,24.7.2024,0,DOP2 W3 Organoids T002604,2
2,12,1,39.94,20,0.36,0.72,0.37,1.86,63.01,0.47,7/26/2024,T002604,1,5,Default Group,#999999,24.7.2024,0,DOP2 W3 Organoids T002604,2
2,13,1,41.8,16,0.29,0.54,0.39,2.82,81.05,0.48,7/26/2024,T002604,1,5,Default Group,#999999,24.7.2024,0,DOP2 W3 Organoids T002604,2
2,14,1,44.62,18,0.32,0.6,0.48,2.54,68.25,0.43,7/26/2024,T002604,1,5,Default Group,#999999,24.7.2024,0,DOP2 W3 Organoids T002604,2
2,15,1,47.16,6,0.11,0.3,0.42,1.04,29.75,0,7/26/2024,T002604,1,5,Default Group,#999999,24.7.2024,0,DOP2 W3 Organoids T002604,2
2,16,1,48.2,27,0.48,0.75,0.62,5.84,77.18,0.23,7/26/2024,T002604,1,5,Default Group,#999999,24.7.2024,0,DOP2 W3 Organoids T002604,2
2,17,1,54.04,42,0.75,1.06,0.66,5.04,100.9,1.23,7/26/2024,T002604,1,5,Default Group,#999999,24.7.2024,0,DOP2 W3 Organoids T002604,2
2,18,1,59.08,37,0.66,0.62,0.88,5.33,47.79,0.41,7/26/2024,T002604,1,5,Default Group,#999999,24.7.2024,0,DOP2 W3 Organoids T002604,2
2,19,1,64.41,46,0.82,1.15,0.7,2.34,66.38,0.45,7/26/2024,T002604,1,5,Default Group,#999999,24.7.2024,0,DOP2 W3 Organoids T002604,2
2,20,1,66.75,17,0.3,0.49,0.38,6.62,85.2,0.45,7/26/2024,T002604,1,5,Default Group,#999999,24.7.2024,0,DOP2 W3 Organoids T002604,2
2,21,1,73.37,8,0.14,0.44,0.38,1.36,N/A,N/A,7/26/2024,T002604,1,5,Default Group,#999999,24.7.2024,0,DOP2 W3 Organoids T002604,2
