Group,,instance,burstTime,SPB,SPBch,burstDur,burstPeak,IBI,bISI_mean,bISI_CV,date,wellplateID,wellNo,runID,assayTag,div,wellGroupName,wellGroupColor,Plating Date,control
Group,Instance,Instance,,Spikes per Burst,Spikes per Burst per Electrode,Burst Duration,Burst Peak Firing Rate,IBI,Mean Burst ISI,Burst ISI CV,Date,Wellplate ID,Well Number,Assay Run ID,Assay Tag,DIV,Well Group Name,Well Group Color,,Control
1,0,1,241.3,5532,5.44,0.59,6.91,N/A,49.46,1,5/22/2024, M05357,1,164,DOP28 W3 Organoids M05357,28,Default Group,#999999,24.4.2024,0
1,1,1,243.21,3656,3.6,0.68,4.61,2.65,77.8,1.06,5/22/2024, M05358,1,164,DOP28 W3 Organoids M05357,28,Default Group,#999999,24.4.2024,0
1,2,1,245.86,4928,4.85,0.65,6.16,80.07,65.91,1.03,5/22/2024, M05359,1,164,DOP28 W3 Organoids M05357,28,Default Group,#999999,24.4.2024,0
1,3,1,325.93,5622,5.53,0.7,6.94,3.09,64.36,1.04,5/22/2024, M05360,1,164,DOP28 W3 Organoids M05357,28,Default Group,#999999,24.4.2024,0
1,4,1,329.02,5268,5.19,0.64,6.45,2.52,60.5,1.05,5/22/2024, M05361,1,164,DOP28 W3 Organoids M05357,28,Default Group,#999999,24.4.2024,0
1,5,1,331.54,3652,3.59,0.74,4.36,4.21,84.62,1.06,5/22/2024, M05362,1,164,DOP28 W3 Organoids M05357,28,Default Group,#999999,24.4.2024,0
1,6,1,335.75,4987,4.91,0.66,6.23,299.65,65.81,1.03,5/22/2024, M05363,1,164,DOP28 W3 Organoids M05357,28,Default Group,#999999,24.4.2024,0
1,7,1,635.4,5548,5.46,0.61,7.09,2.01,51.89,0.99,5/22/2024, M05364,1,164,DOP28 W3 Organoids M05357,28,Default Group,#999999,24.4.2024,0
1,8,1,637.41,3964,3.9,0.67,5.01,147.48,76.24,1.04,5/22/2024, M05365,1,164,DOP28 W3 Organoids M05357,28,Default Group,#999999,24.4.2024,0
1,9,1,784.89,5647,5.56,0.6,7.1,2.51,52.02,0.99,5/22/2024, M05366,1,164,DOP28 W3 Organoids M05357,28,Default Group,#999999,24.4.2024,0
1,10,1,787.4,4999,4.92,0.66,6.17,2.11,65.04,1.01,5/22/2024, M05367,1,164,DOP28 W3 Organoids M05357,28,Default Group,#999999,24.4.2024,0
1,11,1,789.51,3810,3.75,0.68,4.76,96.32,77.49,1.03,5/22/2024, M05368,1,164,DOP28 W3 Organoids M05357,28,Default Group,#999999,24.4.2024,0
1,12,1,885.83,5704,5.61,0.59,7.11,2.54,49.3,0.99,5/22/2024, M05369,1,164,DOP28 W3 Organoids M05357,28,Default Group,#999999,24.4.2024,0
1,13,1,888.37,4789,4.71,0.68,5.9,2.24,70.12,1.02,5/22/2024, M05370,1,164,DOP28 W3 Organoids M05357,28,Default Group,#999999,24.4.2024,0
1,14,1,890.61,2820,2.78,0.75,3.37,N/A,95.06,1.07,5/22/2024, M05371,1,164,DOP28 W3 Organoids M05357,28,Default Group,#999999,24.4.2024,0
1,15,2,110.52,1550,1.52,1.76,0.92,N/A,153.21,1.74,5/22/2024, M05372,2,164,DOP28 W3 Organoids M05357,28,Default Group,#999999,24.4.2024,0
