,activeArea,firingRate_mean,firingRate_std,firingRate_CV,firingRate_median,firingRate_P10,firingRate_P90,amplitude_mean,amplitude_std,amplitude_CV,amplitude_median,amplitude_P10,amplitude_P90,ISI_mean,ISI_std,ISI_CV,ISI_median,ISI_P10,ISI_P90,date,wellplateID,wellNo,runID,assayTag,Well Group Name,Well Group Color,control
Instance,Active Area,Mean Firing Rate,Firing Rate std,Firing Rate CV,Median Firing Rate,Firing Rate 10th percentile,Firing Rate 90th percentile,Mean Spike Amplitude,Spike Amplitude std,Spike Amplitude CV,Median Spike Amplitude,Spike Amplitude 10th percentile,Spike Amplitude 90th percentile,Mean ISI,ISI std,ISI CV,Median ISI,ISI 10th percentile,ISI 90th percentile,Date,Wellplate ID,Well Number,Assay Run ID,Assay Tag,,,Control
1,0.32,0.21,0.09,0.42,0.2,0.12,0.33,31.05,7.97,0.26,29.84,23.06,36.43,123.52,44.68,0.36,128.1,78.8,171.06,2023-09-04,M04487,1,000363,DOP4 W6/7 AllWells M04487,Default Group,#999999,0
2,0.1,0.19,0.11,0.59,0.15,0.12,0.3,29.07,8.18,0.28,29.16,20.37,38.7,66.44,21.42,0.32,55.9,51.0,92.4,2023-09-04,M04487,2,000363,DOP4 W6/7 AllWells M04487,Default Group,#999999,0
3,0.4,0.47,0.48,1.02,0.21,0.12,1.33,31.15,6.61,0.21,34.72,22.02,38.13,87.7,36.71,0.42,83.14,52.02,147.96,2023-09-04,M04487,3,000363,DOP4 W6/7 AllWells M04487,Default Group,#999999,0
4,1.09,0.29,0.27,0.92,0.2,0.12,0.54,48.6,21.03,0.43,43.76,32.07,72.45,66.39,33.16,0.5,58.26,32.23,113.7,2023-09-04,M04487,4,000363,DOP4 W6/7 AllWells M04487,Default Group,#999999,0
5,0.53,1.12,1.35,1.21,0.37,0.17,3.49,41.02,12.86,0.31,38.81,31.78,50.29,63.45,34.79,0.55,63.47,23.19,100.09,2023-09-04,M04487,5,000363,DOP4 W6/7 AllWells M04487,Default Group,#999999,0
6,1.44,0.37,0.3,0.79,0.25,0.12,0.73,40.39,12.87,0.32,36.89,30.57,53.88,85.03,41.91,0.49,79.58,34.99,137.83,2023-09-04,M04487,6,000363,DOP4 W6/7 AllWells M04487,Default Group,#999999,0
7,0.36,0.22,0.11,0.49,0.18,0.12,0.37,30.1,6.8,0.23,29.68,22.65,36.92,101.61,54.18,0.53,107.88,24.81,174.38,2023-09-05,M04487,1,000366,DOP5 W6/7 AllWells M04487,Default Group,#999999,0
8,0.15,0.28,0.15,0.52,0.28,0.12,0.45,33.16,7.21,0.22,31.0,29.35,42.61,80.37,42.03,0.52,70.83,35.58,129.53,2023-09-05,M04487,2,000366,DOP5 W6/7 AllWells M04487,Default Group,#999999,0
9,0.44,0.33,0.24,0.72,0.22,0.12,0.68,35.69,9.34,0.26,36.22,24.07,42.12,60.48,31.1,0.51,55.05,27.56,99.39,2023-09-05,M04487,3,000366,DOP5 W6/7 AllWells M04487,Default Group,#999999,0
