,activeArea,firingRate_mean,firingRate_std,firingRate_CV,firingRate_median,firingRate_P10,firingRate_P90,amplitude_mean,amplitude_std,amplitude_CV,amplitude_median,amplitude_P10,amplitude_P90,ISI_mean,ISI_std,ISI_CV,ISI_median,ISI_P10,ISI_P90,date,wellplateID,wellNo,runID,assayTag,Well Group Name,Well Group Color,control,Cell Type,Media Type,Plating Date
Instance,Active Area,Mean Firing Rate,Firing Rate std,Firing Rate CV,Median Firing Rate,Firing Rate 10th percentile,Firing Rate 90th percentile,Mean Spike Amplitude,Spike Amplitude std,Spike Amplitude CV,Median Spike Amplitude,Spike Amplitude 10th percentile,Spike Amplitude 90th percentile,Mean ISI,ISI std,ISI CV,Median ISI,ISI 10th percentile,ISI 90th percentile,Date,Wellplate ID,Well Number,Assay Run ID,Assay Tag,,,Control,,,
1,1.08,0.5,0.5,0.99,0.3,0.13,1.42,40.19,14.91,0.37,35.49,26.78,68.23,89.36,46.93,0.53,95.22,16.6,145.33,2023-07-17,M04707,1,000129,DIV5 W3/4 Organoids,Default Group,#999999,0,N/A,N/A,N/A
2,0.73,0.27,0.25,0.91,0.17,0.13,0.5,40.14,26.35,0.66,34.81,22.76,54.55,74.45,43.42,0.58,64.4,28.7,142.6,2023-07-17,M04707,2,000129,DIV5 W3/4 Organoids,Default Group,#999999,0,N/A,N/A,N/A
3,0.88,0.27,0.19,0.69,0.2,0.13,0.57,39.71,13.4,0.34,36.01,23.15,59.69,61.77,44.26,0.72,52.7,15.74,117.29,2023-07-17,M04707,3,000129,DIV5 W3/4 Organoids,Default Group,#999999,0,N/A,N/A,N/A
4,1.18,0.54,0.55,1.03,0.33,0.13,1.23,37.66,13.23,0.35,33.71,24.99,53.69,85.98,39.56,0.46,82.79,38.65,140.57,2023-07-17,M04707,4,000129,DIV5 W3/4 Organoids,Default Group,#999999,0,N/A,N/A,N/A
5,1.35,0.4,0.44,1.09,0.2,0.13,1.16,41.7,13.07,0.31,39.36,27.01,60.4,82.3,42.02,0.51,76.16,32.7,145.72,2023-07-17,M04707,5,000129,DIV5 W3/4 Organoids,Default Group,#999999,0,N/A,N/A,N/A
6,1.23,0.28,0.16,0.57,0.23,0.13,0.47,43.18,19.29,0.45,38.72,27.73,61.91,84.0,44.7,0.53,77.8,29.91,144.74,2023-07-17,M04707,6,000129,DIV5 W3/4 Organoids,Default Group,#999999,0,N/A,N/A,N/A
7,1.35,0.39,0.36,0.92,0.27,0.13,0.8,43.35,20.03,0.46,37.02,29.74,70.82,80.54,46.59,0.58,78.19,23.24,143.76,2023-07-19,M04707,1,000134,DIV7 W3/4 Organoids,Default Group,#999999,0,N/A,N/A,N/A
8,1.57,0.31,0.26,0.85,0.23,0.12,0.56,51.91,45.14,0.87,38.5,27.45,85.1,67.59,41.08,0.61,55.18,25.09,126.79,2023-07-19,M04707,2,000134,DIV7 W3/4 Organoids,Default Group,#999999,0,N/A,N/A,N/A
9,1.37,0.29,0.23,0.78,0.2,0.12,0.57,43.84,17.56,0.4,38.47,29.75,62.52,63.87,32.01,0.5,58.7,26.87,112.13,2023-07-19,M04707,3,000134,DIV7 W3/4 Organoids,Default Group,#999999,0,N/A,N/A,N/A
10,2.14,0.42,0.41,0.96,0.27,0.13,0.85,39.88,21.64,0.54,35.27,26.75,54.36,82.91,37.54,0.45,78.45,39.26,133.33,2023-07-19,M04707,4,000134,DIV7 W3/4 Organoids,Default Group,#999999,0,N/A,N/A,N/A
11,2.33,0.34,0.36,1.05,0.2,0.12,0.82,47.63,42.96,0.9,41.73,30.21,66.41,75.3,35.2,0.47,70.8,33.2,123.95,2023-07-19,M04707,5,000134,DIV7 W3/4 Organoids,Default Group,#999999,0,N/A,N/A,N/A
12,1.98,0.28,0.18,0.65,0.23,0.12,0.48,47.83,43.02,0.9,38.7,29.14,67.74,81.38,40.92,0.5,77.54,33.84,142.42,2023-07-19,M04707,6,000134,DIV7 W3/4 Organoids,Default Group,#999999,0,N/A,N/A,N/A
13,0.96,0.44,0.6,1.37,0.22,0.12,0.82,45.84,39.91,0.87,37.34,30.45,61.32,74.44,41.64,0.56,69.78,26.98,127.58,2023-07-20,M04707,1,000143,DIV8 W3/4 Organoids,Default Group,#999999,0,N/A,N/A,N/A
14,1.77,0.41,0.44,1.08,0.25,0.12,0.9,58.67,51.25,0.87,40.49,29.52,112.59,60.03,32.64,0.54,51.31,26.25,103.92,2023-07-20,M04707,2,000143,DIV8 W3/4 Organoids,Default Group,#999999,0,N/A,N/A,N/A
15,1.54,1.05,1.25,1.19,0.42,0.13,3.02,39.6,14.15,0.36,36.95,27.86,52.41,61.7,28.18,0.46,62.94,23.85,92.28,2023-07-20,M04707,3,000143,DIV8 W3/4 Organoids,Default Group,#999999,0,N/A,N/A,N/A
16,2.49,0.33,0.23,0.69,0.25,0.13,0.68,44.2,29.72,0.67,37.69,28.81,60.47,81.14,37.02,0.46,77.9,36.76,130.21,2023-07-20,M04707,4,000143,DIV8 W3/4 Organoids,Default Group,#999999,0,N/A,N/A,N/A
